Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Anthropology
Karakuram International University,Gilgit,BS,4 Years,36400,10-08-2025,Anthropology
International Islamic University,Islamabad,BS,4 Years,50400,31-12-2025,Anthropology
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Anthropology
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Anthropology
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,25150,15-09-2025,Anthropology
University Of Okara,Okara,BS,4 Years,0,18-07-2025,Anthropology
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,Anthropology
Fatima Jinnah Women University,Rawalpindi,BS,4 Years,52050,18-08-2025,Anthropology
Pir Mahar Ali Shah Arid Agriculture University,Rawalpindi,BS,4 Years,45650,08-08-2025,Anthropology
