Institute,City,Degree,Duration,Fee,Deadline,Subject
The Government Sadiq College Women University,Bahawal Pur,BS,4 Years,27340,28-01-2026,Applied Psychology
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,44015,30-06-2025,Applied Psychology
Gomal University,D.i. Khan,BS,4 Years,0,09-01-2026,Applied Psychology
Government College University,Faisalabad,AD,2 Years,24300,24-06-2025,Applied Psychology
Government College University,Faisalabad,BA [HONS],4 Years,24300,24-06-2025,Applied Psychology
Lahore College For Women University,Lahore,BBA,4 Years,51430,25-09-2025,Applied Psychology
University Of The Punjab,Lahore,BS,4 Years,41940,25-09-2025,Applied Psychology
University Of Layyah,Layyah,BS,4 Years,28460,17-07-2023,Applied Psychology
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,20150,15-09-2025,Applied Psychology
The Women University,Multan,BS,4 Years,25750,23-09-2024,Applied Psychology
University Of Sahiwal,Sahiwal,BS,4 Years,31440,31-07-2025,Applied Psychology
Riphah International University,Islamabad,BS,4 Years,127118,30-07-2025,Applied Psychology
Beaconhouse National University,Lahore,B.Sc.,4 Years,169050,22-08-2025,Applied Psychology
Forman Christian College,Lahore,BS,4 Years,358200,30-11-2025,Applied Psychology
Lahore Garrison University,Lahore,BS,4 Years,174635,30-11--0001,Applied Psychology
"The Islamia University Of Bahawalpur, Ahmadpur East Campus",Ahmadpur East,BS,4 Years,44015,30-06-2024,Applied Psychology
The Islamia University Of Bahawalpur[sub Campus],Bahawal Nagar,BS,4 Years,36600,30-06-2025,Applied Psychology
"The Islamia University Of Bahawalpur, Liaqatpur Campus",Liaqatpur,BS,4 Years,44015,30-06-2025,Applied Psychology
National University Of Modern Languages ( Quetta Campus ),Quetta,BS,4 Years,84580,13-08-2025,Applied Psychology
The Islamic University Of Bahawalpur[rahimyar Khan Campus],Rahim Yar Khan,BS,4 Years,44015,30-06-2025,Applied Psychology
"Bahauddin Zakariya University, ( Vehari Campus )",Vehari,BS,4 Years,20150,02-01-2026,Applied Psychology
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,98000,18-10-2025,Applied Psychology
Government Post Graduate College Of Science,Faisalabad,BS,4 Years,0,23-10-2021,Applied Psychology
Government Post Graduate College For Women [satellite Town],Gujranwala,BS,4 Years,0,10-09-2024,Applied Psychology
Apwa Degree College For Women[jail Road],Lahore,CERT,4 Years,3500,02-10-2024,Applied Psychology
Government College For Women [gulberg],Lahore,BS,4 Years,0,15-05-2024,Applied Psychology
Government College For Women[gulberg],Lahore,BS,4 Years,0,28-10-2022,Applied Psychology
Government College Of Science[wahdat Road],Lahore,BS,4 Years,0,14-09-2024,Applied Psychology
Government College [township],Lahore,CERT,4 Years,0,07-09-2024,Applied Psychology
Government Fatima Jinnah College For Women,Lahore,BS (HONS),4 Years,0,05-10-2020,Applied Psychology
Government Islamia Post Graduate College For Women,Lahore,BS,4 Years,0,17-09-2019,Applied Psychology
Government Islamia Post Graduate College For Women [cooper Road],Lahore,BS,4 Years,0,21-09-2023,Applied Psychology
Government M.a.o College,Lahore,BS (HONS),4 Years,0,31-12-2022,Applied Psychology
Government Post Graduate College For Women [samanabad],Lahore,BS (HONS),4 Years,0,28-10-2021,Applied Psychology
University Of Home Economics,Lahore,BS,4 Years,0,25-07-2025,Applied Psychology
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Applied Psychology
Government Post Graduate College[asghar Mall ],Rawalpindi,BS,4 Years,0,17-08-2025,Applied Psychology
Vertex College Of Science & Technology,Abbottabad,BS,4 Years,0,28-02-2020,Applied Psychology
King College Of Health Sciences,Bahawal Pur,BS (HONS),4 Years,0,30-11-2016,Applied Psychology
Layallpur Institute Of Management & Sciences ( Lims ),Faisalabad,BS,4 Years,0,14-10-2017,Applied Psychology
"Mustafa College For Women,jamia Qadria Rizvia Campus",Faisalabad,BS,4 Years,0,10-08-2024,Applied Psychology
Advance Life College Of Medical Sciences,Lahore,BS,4 Years,0,30-11-2016,Applied Psychology
Hussain College Of Health Sciences,Lahore,BS,4 Years,0,31-08-2025,Applied Psychology
Center Of Advanced Studies In Health & Technology,Rawalpindi,BS,4 Years,0,05-10-2023,Applied Psychology
Kings College Of Health Sciences,Sahiwal,BS,4 Years,0,30-11-2016,Applied Psychology
Vertex Institute Of Science & Technology,Abbottabad,BS,4 Years,0,01-10-2024,Applied Psychology
Faisal Institute Of Health Sciences,Faisalabad,BS,4 Years,0,25-10-2025,Applied Psychology
Women Institute Of Science & Humanities,Islamabad,BS,4 Years,0,12-01-2018,Applied Psychology
Afro-asian Institute,Lahore,BS,4 Years,0,10-08-2023,Applied Psychology
Multan Institute Of Health Sciences,Multan,BS,4 Years,0,17-09-2017,Applied Psychology
"Bahauddin Zakariya University, Lahore Campus",Lahore,BS (HONS),4 Years,32000,30-11--0001,Applied Psychology
