Institute,City,Degree,Duration,Fee,Deadline,Subject
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,51660,01-09-2025,Clinical Laboratory Sciences
Dow University Of Health Sciences,Karachi,BS,4 Years,100000,20-12-2025,Clinical Laboratory Sciences
Jinnah Sindh Medical University,Karachi,BS,4 Years,0,17-12-2025,Clinical Laboratory Sciences
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Clinical Laboratory Sciences
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Clinical Laboratory Sciences
Women University Swabi,Swabi,BS,4 Years,77000,06-02-2023,Clinical Laboratory Sciences
Indus University,Karachi,BS,4 Years,134000,31-10-2025,Clinical Laboratory Sciences
Sohail University,Karachi,BS,4 Years,0,17-10-2024,Clinical Laboratory Sciences
Zia-ud-din Medical University,Karachi,BS,4 Years,86000,26-08-2025,Clinical Laboratory Sciences
National Institute Of Physical Therapy And Rehabilitation Sciences,Karachi,BS,4 Years,0,10-12-2020,Clinical Laboratory Sciences
Indus College Of Allied Health,Karachi,BS,4 Years,0,08-01-2023,Clinical Laboratory Sciences
Liaquat National Medical College,Karachi,BS,4 Years,0,24-01-2026,Clinical Laboratory Sciences
Sindh Institute Of Medical And Allied Sciences,Karachi,BS,4 Years,0,10-02-2023,Clinical Laboratory Sciences
Sindh Institute Of Urology And Transplantation,Karachi,BS,4 Years,0,03-12-2025,Clinical Laboratory Sciences
