Institute,City,Degree,Duration,Fee,Deadline,Subject
Faisalabad Medical University,Faisalabad,BS,4 Years,0,15-12-2025,Clinical Psychology
"Bahria University, E-8 Campus",Islamabad,BS,4 Years,92400,18-12-2025,Clinical Psychology
King Edward Medical University / Mayo Hospital,Lahore,B.Sc. [Hons],4 Years,54000,10-12-2025,Clinical Psychology
Lahore College For Women University,Lahore,BS,4 Years,51430,25-09-2025,Clinical Psychology
University Of The Punjab,Lahore,BS,4 Years,41940,25-09-2025,Clinical Psychology
Khyber Medical University,Peshawar,B.Sc.,4 Years,80000,30-10-2025,Clinical Psychology
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Clinical Psychology
Pir Mahar Ali Shah Arid Agriculture University,Rawalpindi,BS,4 Years,0,08-08-2025,Clinical Psychology
University Of Sialkot,Sialkot,BS,4 Years,95000,01-11-2024,Clinical Psychology
Gift University,Gujranwala,BS,4 Years,125200,01-02-2026,Clinical Psychology
Riphah International University,Islamabad,BS,4 Years,0,30-07-2025,Clinical Psychology
Shifa Tameer-e-millat University,Islamabad,BS,4 Years,179000,18-07-2024,Clinical Psychology
Sir Syed University Of Engineering & Technology,Karachi,BS,4 Years,0,19-07-2024,Clinical Psychology
Sohail University,Karachi,BS,4 Years,0,17-10-2024,Clinical Psychology
Zia-ud-din Medical University,Karachi,BS,4 Years,0,30-11--0001,Clinical Psychology
Zia-ud-din Medical University,Karachi,BS,4 Years,0,26-08-2025,Clinical Psychology
Lahore University Of Biological & Applied Sciences,Lahore,BS,4 Years,0,31-01-2026,Clinical Psychology
"National College Of Business Administration And Economics, Lahore",Lahore,BS,4 Years,0,26-02-2023,Clinical Psychology
Nur International University,Lahore,BS,4 Years,155278,18-01-2025,Clinical Psychology
Qarshi University (lhr),Lahore,BS,4 Years,0,12-07-2025,Clinical Psychology
Rashid Latif Khan University,Lahore,BS,4 Years,0,25-10-2025,Clinical Psychology
The Superior University,Lahore,BS,4 Years,0,31-01-2026,Clinical Psychology
University Of Management And Technology,Lahore,BS,4 Years,249750,31-07-2024,Clinical Psychology
Bahria University ( Karachi Campus ),Karachi,BS,4 Years,92400,18-12-2025,Clinical Psychology
Bahria University ( Lahore Campus ),Lahore,BS,4 Years,92400,08-01-2026,Clinical Psychology
National College Of Business Administration And Economics ( Bahwal Pur Campus ),Bahawal Pur,BS,4 Years,0,19-10-2025,Clinical Psychology
"Bahria University, H-11 Campus",Islamabad,BS,4 Years,92400,18-12-2025,Clinical Psychology
"Iqra University, H-9 Campus",Islamabad,BS,4 Years,0,10-09-2025,Clinical Psychology
Riphah International University Lahore,Lahore,BS,2 Years,0,25-01-2026,Clinical Psychology
National College Of Business Administration And Economics ( Multan Campus ),Multan,BS,4 Years,144000,19-10-2025,Clinical Psychology
"Zia Ud Din University, Sukkur Campus",Sukkur,BS,4 Years,0,26-08-2025,Clinical Psychology
Vist College Of Nursing,Abbottabad,BS,4 Years,0,22-03-2019,Clinical Psychology
Rashid Latif Medical College,Lahore,BS,4 Years,0,05-02-2023,Clinical Psychology
The Childrens Hospital & The Institute Of Child Health,Lahore,BS,4 Years,0,29-11-2024,Clinical Psychology
"International Institute Of Science, Arts And Technology",Gujranwala,BS,4 Years,0,05-10-2025,Clinical Psychology
