Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,B.Sc. [Engg.],4 Years,53415,30-06-2025,Computer Engineering
Air University,Islamabad,BS,4 Years,99600,25-07-2025,Computer Engineering
Comsats University Islamabad,Islamabad,BS,4 Years,0,09-07-2025,Computer Engineering
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,BS,4 Years,75000,15-02-2007,Computer Engineering
International Islamic University,Islamabad,BS,4 Years,99900,30-07-2025,Computer Engineering
"National University Of Computer And Emerging Sciences, Islamabad",Islamabad,BS,4 Years,160000,04-07-2025,Computer Engineering
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,68000,09-12-2025,Computer Engineering
National University Of Technology,Islamabad,BS,4 Years,115000,12-07-2025,Computer Engineering
Mehran University Of Engineering & Technology,Jamshoro,BE,4 Years,38600,10-05-2025,Computer Engineering
Dawood University Of Engineering And Technology,Karachi,BE,4 Years,32000,15-07-2025,Computer Engineering
Information Technology University,Lahore,BS,4 Years,206000,18-06-2025,Computer Engineering
"University Of Engineering & Technology, Lahore",Lahore,B.Sc. [Engg.],4 Years,62427,22-03-2026,Computer Engineering
"University Of Engineering & Technology ,mardan",Mardan,BS,4 Years,51013,13-07-2025,Computer Engineering
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,74300,15-08-2024,Computer Engineering
"Bahauddin Zakariya University, Multan",Multan,B.Sc. [Engg.],4 Years,43650,18-08-2025,Computer Engineering
"Quaid-e-awam University Of Engineering, Sciences & Technology",Nawab Shah,BE,4 Years,20000,31-05-2025,Computer Engineering
"University Of Technology, Nowshera",Nowshera,BS,4 Years,27610,04-09-2025,Computer Engineering
"University Of Engineering & Technology, Peshawar",Peshawar,B.Sc.,4 Years,85000,19-08-2025,Computer Engineering
Balochistan University Of It & Management Sciences,Quetta,BS,4 Years,48415,20-08-2025,Computer Engineering
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Computer Engineering
University Of Sargodha,Sargodha,B.Sc. [Engg.],4 Years,0,01-09-2025,Computer Engineering
University Of Engineering And Applied Sciences,Swat,BS,4 Years,0,07-07-2025,Computer Engineering
"University Of Engineering &  Technology, Taxila",Taxila,B.Sc. [Engg.],4 Years,102400,22-03-2026,Computer Engineering
Al-khair University [ajk],Islamabad,BE,4 Years,0,01-01-1970,Computer Engineering
Capital University Of Science And Technology,Islamabad,BS,4 Hours,0,02-09-2025,Computer Engineering
Sir Syed Case Institute Of Technology,Islamabad,BS,4 Years,0,21-08-2024,Computer Engineering
Dha Suffa University(main Campus),Karachi,BS,4 Years,0,30-12-2025,Computer Engineering
Habib University,Karachi,BS,4 Years,1106500,31-01-2023,Computer Engineering
Sir Syed University Of Engineering & Technology,Karachi,BS,4 Years,172800,19-07-2024,Computer Engineering
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,288000,14-09-2024,Computer Engineering
Abasyn University,Peshawar,BS,4 Years,0,01-02-2026,Computer Engineering
Cecos University Of Information Tech. & Emerging Sciences,Peshawar,BS,4 Years,0,28-07-2025,Computer Engineering
Ghulam Ishaq Khan  Institute Of Engineering Sciences & Technology,Swabi,B.Sc. [Engg.],4 Years,695000,30-05-2024,Computer Engineering
