Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS (HONS),4 Years,53415,30-06-2025,Computer System
Ned University Of Engineering & Technology,Karachi,BE,4 Years,46670,20-05-2025,Computer System
Uit University,Karachi,BS,4 Years,0,18-07-2025,Computer System
Balochistan University Of Engineering & Technology,Khuzdar,BE,4 Years,16000,17-10-2025,Computer System
Sukkur Iba University,Sukkur,BE,4 Years,120000,07-02-2026,Computer System
Riphah International University,Islamabad,BS,4 Years,90000,30-07-2025,Computer System
Hamdard University,Karachi,BS,4 Years,138600,15-03-2025,Computer System
Karachi Institute Of Economics & Technology,Karachi,B.Sc. [Engg.],4 Years,117600,06-01-2024,Computer System
Muhammad Ali Jinnah University,Karachi,BE,4 Years,166250,22-07-2024,Computer System
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,117000,18-10-2025,Computer System
Riphah International University Lahore,Lahore,BS,4 Years,0,25-01-2026,Computer System
Usman Institute Of Technology,Karachi,BE,4 Years,215200,22-09-2021,Computer System
