Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of Malakand,Chakdara,BS,4 Years,0,31-07-2025,Criminology
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,Criminology
Gomal University,D.i. Khan,BS,4 Years,0,31-07-2025,Criminology
Gomal University,D.i. Khan,AD,2 Years,0,31-07-2025,Criminology
Government College University,Faisalabad,BS,4 Years,24300,24-06-2025,Criminology
University Of Agriculture,Faisalabad,BS,4 Years,0,28-07-2025,Criminology
University Of Gujrat,Gujrat,BS,4 Years,0,15-08-2025,Criminology
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Criminology
"Shaheed Zulfiqar Ali Bhutto, University Of Law, Clifton",Karachi,BS,4 Years,40000,12-01-2026,Criminology
University Of Karachi,Karachi,BA [HONS],4 Years,28500,07-11-2025,Criminology
University Of Karachi,Karachi,BS,4 Years,28500,28-11-2025,Criminology
Kohat University Of Science & Technology,Kohat,BS,4 Years,24100,15-09-2025,Criminology
University Of The Punjab,Lahore,BS,4 Years,41940,25-09-2025,Criminology
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Criminology
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,20150,02-01-2026,Criminology
Nfc Institute Of Engineering & Technology,Multan,BS,4 Years,33700,30-09-2024,Criminology
University Of Okara,Okara,BS,4 Years,0,18-07-2025,Criminology
University Of Peshawar,Peshawar,BS,4 Years,0,23-09-2025,Criminology
University Of Sahiwal,Sahiwal,BS,4 Years,50220,31-07-2025,Criminology
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Criminology
Government College Women University,Sialkot,BS,4 Years,25000,22-01-2026,Criminology
University Of Sialkot,Sialkot,BS,4 Years,0,01-11-2024,Criminology
The University Of Faisalabad,Faisalabad,BS,4 Years,112500,07-10-2023,Criminology
Hamdard University,Karachi,BS,4 Years,0,15-03-2025,Criminology
Lahore Leads University,Lahore,BS,4 Years,140000,04-09-2025,Criminology
The Superior University,Lahore,BS,4 Years,0,31-01-2026,Criminology
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,0,31-01-2026,Criminology
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,80000,18-10-2025,Criminology
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Criminology
Pimsat - Institute Of Higher Education,Karachi,BS,4 Years,0,18-02-2017,Criminology
