Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BEMS,5 Years,94170,30-06-2025,Eastern Medicine Surgery
Government College University,Faisalabad,BEMS,5 Years,36800,12-01-2026,Eastern Medicine Surgery
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Eastern Medicine Surgery
Multan University Of Science And Technology,Multan,BEMS,5 Years,0,24-01-2026,Eastern Medicine Surgery
University Of Balochistan,Quetta,BS,4 Years,40000,05-01-2026,Eastern Medicine Surgery
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BEMS,5 Years,32000,20-08-2025,Eastern Medicine Surgery
Pir Mahar Ali Shah Arid Agriculture University,Rawalpindi,BEMS,5 Years,0,08-08-2025,Eastern Medicine Surgery
Hamdard University,Karachi,BEMS,5 Years,100100,15-03-2025,Eastern Medicine Surgery
Jinnah University For Women,Karachi,BEMS,5 Years,58000,04-01-2022,Eastern Medicine Surgery
Zia-ud-din Medical University,Karachi,BEMS,5 Years,184000,19-08-2023,Eastern Medicine Surgery
Qarshi University (lhr),Lahore,BEMS,5 Years,125000,12-07-2025,Eastern Medicine Surgery
The Superior University,Lahore,BEMS,5 Years,0,31-01-2026,Eastern Medicine Surgery
Qarshi University,Muridke,BEMS,5 Years,0,30-11--0001,Eastern Medicine Surgery
Hamdard University - Islamabad Campus,Islamabad,BS,4 Years,0,15-07-2023,Eastern Medicine Surgery
Himayat-e-islam Tibbiyah College,Lahore,BEMS,4 Years,0,16-10-2022,Eastern Medicine Surgery
National Institution Of Management Sciences,Faisalabad,DIP,4 Years,0,27-10-2018,Eastern Medicine Surgery
