Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,47115,30-06-2025,Forensic Studies
Government College Women University,Faisalabad,BS,4 Years,33100,31-07-2025,Forensic Studies
Dow University Of Health Sciences,Karachi,BS,4 Years,140000,20-12-2025,Forensic Studies
Hazara University,Mansehra,BS,4 Years,38980,01-09-2025,Forensic Studies
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Forensic Studies
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Forensic Studies
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Forensic Studies
University Of Swat,Swat,BS,4 Years,19730,12-10-2023,Forensic Studies
The University Of Modern Sciences,Tando Muhammad Khan,BS,4 Years,0,16-12-2024,Forensic Studies
"Shaheed Benazir Bhutto University, Sheringal",Upper Dir,BS,4 Years,30010,10-10-2025,Forensic Studies
Lahore University Of Biological & Applied Sciences,Lahore,BS,4 Years,0,31-01-2026,Forensic Studies
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Forensic Studies
