Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of Science & Technology,Bannu,BS,4 Years,0,20-09-2025,Health Technology
Khyber Medical University,Peshawar,BS,4 Years,80000,30-10-2025,Health Technology
Abasyn University,Peshawar,BS,4 Years,0,01-02-2026,Health Technology
Sarhad University Of Science & Information Technology,Peshawar,BS,4 Years,56500,05-12-2025,Health Technology
"Kmu Institute Of Health Sciences, G. I. Khan Campus",D.i. Khan,BS,4 Years,0,11-09-2025,Health Technology
"Kmu Institute Of Health Sciences, Kohat",Kohat,BS,4 Years,0,11-09-2025,Health Technology
Kmu Institute Of Health Sciences,Swabi,BS,4 Years,0,11-09-2025,Health Technology
Institute Of Health Sciences,Islamabad,BS,4 Years,0,11-09-2025,Health Technology
Ghazali Institute Of Medical Sciences,Peshawar,BS,4 Years,0,08-09-2025,Health Technology
International College Of Health Sciences,Peshawar,BS,4 Years,0,19-11-2022,Health Technology
National College Of Nursing,Peshawar,BS,4 Years,0,20-12-2025,Health Technology
Kmu Institute Of Medical Sciences,Kohat,BS,4 Years,0,18-10-2024,Health Technology
Comwave Institute Of Information Technology,Islamabad,BS,4 Years,0,18-11-2023,Health Technology
Kmu Institute Of Health Sciences,Mardan,BS,4 Years,0,11-09-2025,Health Technology
Global Institute Of Medical Sciences,Peshawar,BS,4 Years,0,30-11-2024,Health Technology
Premier Institute Of Health And Management Sciences,Peshawar,BS,4 Years,0,17-09-2024,Health Technology
Rehman Medical Institute,Peshawar,BS,4 Years,0,13-09-2025,Health Technology
