Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Library Information Science
Gomal University,D.i. Khan,BS,4 Years,0,30-09-2024,Library Information Science
Allama Iqbal Open University,Islamabad,B.Sc.,4 Years,13750,10-02-2026,Library Information Science
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Library Information Science
University Of Karachi,Karachi,BLS,2 Years,15000,28-11-2025,Library Information Science
Khushal Khan Khattak University,Karak,BS,4 Years,34000,19-01-2026,Library Information Science
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,15-09-2025,Library Information Science
University Of Okara,Okara,BS,4 Years,46000,18-07-2025,Library Information Science
University Of Peshawar,Peshawar,BS,4 Years,78400,23-09-2025,Library Information Science
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,Library Information Science
Fatima Jinnah Women University,Rawalpindi,BS,4 Years,52050,18-08-2025,Library Information Science
University Of Sargodha,Sargodha,BS,4 Years,30000,12-07-2024,Library Information Science
Minhaj University,Lahore,BS,4 Years,120000,18-05-2024,Library Information Science
Mohi-ud-din Islamic University,Mir Pur (ajk),BS,4 Years,0,15-02-2024,Library Information Science
Sarhad University Of Science & Information Technology,Peshawar,AD,2 Years,18500,05-12-2025,Library Information Science
Frontier Institute Of Medical Sciences [abbottabad],Abbottabad,BS,4 Years,0,12-04-2025,Library Information Science
Comwave Institute Of Information Technology,Islamabad,BS,4 Years,0,18-11-2023,Library Information Science
National Textile Institute,Islamabad,BLS,4 Years,0,09-10-2018,Library Information Science
