Institute,City,Degree,Duration,Fee,Deadline,Subject
Faisalabad Medical University,Faisalabad,BS,4 Years,0,15-12-2025,Operation Theater Technology
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Operation Theater Technology
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,0,15-07-2022,Operation Theater Technology
Multan University Of Science And Technology,Multan,BS,4 Years,0,24-01-2025,Operation Theater Technology
Bolan University Of Medical & Health Sciences,Quetta,BS,4 Years,0,20-01-2026,Operation Theater Technology
Ibadat International University Islamabad,Islamabad,BS,4 Years,49800,10-09-2023,Operation Theater Technology
Sir Syed Case Institute Of Technology,Islamabad,BS,4 Years,0,21-08-2024,Operation Theater Technology
Lahore University Of Biological & Applied Sciences,Lahore,BS,4 Years,0,31-01-2026,Operation Theater Technology
Nur International University,Lahore,BS,4 Years,155278,18-01-2025,Operation Theater Technology
Rashid Latif Khan University,Lahore,BS (HONS),4 Years,0,25-10-2025,Operation Theater Technology
The Superior University,Lahore,BS,4 Years,0,31-01-2026,Operation Theater Technology
University Of Management And Technology,Lahore,BS,4 Years,0,16-11-2024,Operation Theater Technology
"Government College University Faisalabad, Chiniot Campus",Chiniot,BS,4 Years,0,24-06-2025,Operation Theater Technology
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,0,18-10-2025,Operation Theater Technology
Abasyn University (sub Campus),Islamabad,BS,4 Years,0,28-12-2025,Operation Theater Technology
Riphah International University Lahore,Lahore,BS,4 Years,0,20-09-2024,Operation Theater Technology
D. G. Khan Medical College,D.g.khan,B.Sc. [Hons],4 Years,0,31-01-2026,Operation Theater Technology
Aziz Fatimah Medical And Dental College,Faisalabad,BS,4 Years,0,29-12-2025,Operation Theater Technology
Independent Medical College,Faisalabad,B.Sc. [Hons],4 Years,0,25-09-2024,Operation Theater Technology
Capital College Of Health Sciences,Islamabad,BS,4 Years,0,20-09-2022,Operation Theater Technology
Allied College Of Health Sciences,Khanewal,BS,4 Years,0,30-09-2021,Operation Theater Technology
Akhtar Saeed Medical And Dental College,Lahore,B.Sc. [Hons],4 Years,0,31-08-2020,Operation Theater Technology
Central Park College Of Allied Health Sciences,Lahore,BS,4 Years,0,09-11-2025,Operation Theater Technology
Gulab Devi Educational Complex,Lahore,BS (HONS),4 Years,0,30-11--0001,Operation Theater Technology
Hussain College Of Health Sciences,Lahore,BS,4 Years,0,31-08-2025,Operation Theater Technology
Dr Yahya Institute Of Medical Sciences,Layyah,BS,4 Years,0,15-12-2021,Operation Theater Technology
Allied College Of Health Sciences,Multan,BS,4 Years,0,30-09-2021,Operation Theater Technology
Bakhtawar Amin Medical And Dental College,Multan,BS,4 Years,0,01-01-2025,Operation Theater Technology
Al-shifa Institute Of Health Sciences,Narowal,BS,4 Years,0,20-12-2025,Operation Theater Technology
Hafeez Institute Of Medical Sciences,Peshawar,BS,4 Years,0,13-12-2021,Operation Theater Technology
Sialkot Medical College,Sialkot,BS,4 Years,0,20-08-2018,Operation Theater Technology
Wazirabad College Of Pharmacy,Wazirabad,DIP,2 Years,0,19-03-2022,Operation Theater Technology
Pakistan Kidney And Liver Institute And Research Center,Lahore,BS,4 Years,0,27-12-2025,Operation Theater Technology
Laeeque Rafique Institute Of Medical Sciences & Nursing School,Multan,BS,4 Years,0,30-11-2021,Operation Theater Technology
Times Institute,Multan,BS,4 Years,60000,29-01-2024,Operation Theater Technology
