Institute,City,Degree,Duration,Fee,Deadline,Subject
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,51660,01-09-2025,Operation Theatre Sciences
Jinnah Sindh Medical University,Karachi,BS,4 Hours,0,17-12-2025,Operation Theatre Sciences
Indus University,Karachi,BS,4 Years,114000,31-10-2025,Operation Theatre Sciences
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,131200,03-01-2026,Operation Theatre Sciences
Indus College Of Allied Health,Karachi,BS,4 Years,0,08-01-2023,Operation Theatre Sciences
Liaquat National Medical College,Karachi,BS,4 Years,0,27-12-2025,Operation Theatre Sciences
Sindh Institute Of Urology And Transplantation,Karachi,BS,4 Hours,0,03-12-2025,Operation Theatre Sciences
Faisal Institute Of Health Sciences,Faisalabad,BS,4 Years,0,25-10-2025,Operation Theatre Sciences
Prime Institute Of Health Sciences,Islamabad,BS,4 Years,0,01-10-2025,Operation Theatre Sciences
Abu Zafar Institute Of Medical Sciences,Karachi,BS,4 Years,0,31-12-2018,Operation Theatre Sciences
Tabba Heart Institute,Karachi,BS,4 Years,0,20-12-2017,Operation Theatre Sciences
Afro-asian Institute,Lahore,BS,4 Years,0,10-08-2023,Operation Theatre Sciences
