Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of Science & Technology,Bannu,BS,4 Years,0,20-09-2025,Optometry
University Of Haripur,Haripur,BS,4 Years,48829,08-09-2025,Optometry
Dow University Of Health Sciences,Karachi,BS,4 Years,183000,20-12-2025,Optometry
King Edward Medical University / Mayo Hospital,Lahore,B.Sc. [Hons],4 Years,54000,11-12-2024,Optometry
University Of Loralai,Loralai,BS,4 Years,11300,18-08-2025,Optometry
Multan University Of Science And Technology,Multan,BS,4 Years,0,24-01-2026,Optometry
Khyber Medical University,Peshawar,BS,4 Years,80000,18-08-2025,Optometry
University Of Peshawar,Peshawar,BS,4 Years,0,11-08-2025,Optometry
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,05-01-2026,Optometry
University Of Swabi,Swabi,BS,4 Years,51270,16-09-2025,Optometry
The University Of Faisalabad,Faisalabad,OD,5 Years,280000,07-10-2023,Optometry
The University Of Chenab,Gujrat,BS,4 Years,0,03-01-2026,Optometry
Muslim Youth University,Islamabad,BS,4 Years,0,29-10-2025,Optometry
Sohail University,Karachi,BS,4 Years,0,17-10-2024,Optometry
Green International University,Lahore,BS,4 Years,0,02-09-2025,Optometry
Nur International University,Lahore,BS,4 Years,155278,18-01-2025,Optometry
The Superior University,Lahore,OD,4 Years,169800,31-01-2026,Optometry
Sarhad University Of Science & Information Technology,Peshawar,BS,4 Years,56500,05-12-2025,Optometry
Al- Hamd Islamic University,Quetta,BS,4 Years,0,18-08-2024,Optometry
"Kmu Institute Of Health Sciences, G. I. Khan Campus",D.i. Khan,BS,4 Years,0,11-09-2025,Optometry
"Kmu Institute Of Health Sciences, Kohat",Kohat,BS,4 Years,0,11-09-2025,Optometry
Kmu Institute Of Health Sciences,Swabi,BS,4 Years,0,11-09-2025,Optometry
Abasyn University (sub Campus),Islamabad,BS,4 Years,0,28-12-2025,Optometry
"Iqra University, Chak Shahzad Campus",Islamabad,BS,4 Years,121890,29-02-2024,Optometry
Institute Of Health Sciences,Islamabad,BS,4 Years,0,11-09-2025,Optometry
College Of Ophthalmology & Allied Vision Sciences,Lahore,B.Sc.,4 Years,0,10-01-2022,Optometry
Al Wateen Institute Of Medical Sciences,Islamabad,BS,4 Years,0,22-02-2019,Optometry
Capital College Of Health Sciences,Islamabad,BS,4 Years,0,20-09-2022,Optometry
Hbs Medical And Dental College,Islamabad,BS,4 Years,0,27-12-2025,Optometry
Fmh College Of Medicine & Dentistry,Lahore,B.Sc.,4 Years,0,17-12-2022,Optometry
Rashid Latif Medical College,Lahore,B.Sc. [Hons],4 Years,0,19-01-2024,Optometry
Hafeez Institute Of Medical Sciences,Peshawar,BS,4 Years,0,13-12-2021,Optometry
Professional College Of Medical Science,Peshawar,CERT,4 Years,0,14-12-2019,Optometry
Nisa Institute Of Science & Arts,Quetta,BS,4 Years,0,19-09-2024,Optometry
"Al Wateen Institute Of Medical Sciences, Rawalpindi Campus",Rawalpindi,BS,4 Years,0,23-02-2019,Optometry
Sindh Institute Of Ophthalmology & Visual Sciences,Hyderabad,BS,5 Years,0,05-08-2025,Optometry
Health Services Academy,Islamabad,BS,4 Years,0,31-01-2026,Optometry
Pakistan Institute Of Community Ophthalmology,Peshawar,OD,5 Years,0,03-10-2025,Optometry
Bashir Institute Of Health Sciences,Islamabad,BS,4 Years,0,08-03-2023,Optometry
Kmu Institute Of Health Sciences,Mardan,BS,4 Years,0,11-09-2025,Optometry
