Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Philosophy
University Of Sindh,Jamshoro,BA [HONS],3 Years,15200,14-09-2025,Philosophy
University Of Karachi,Karachi,B.Sc. [Hons],4 Years,12500,07-11-2025,Philosophy
Kohat University Of Science & Technology,Kohat,BS,4 Years,24100,15-09-2025,Philosophy
Government College University Lahore,Lahore,BA [HONS],4 Years,48000,11-12-2025,Philosophy
University Of The Punjab,Lahore,BS,4 Years,29940,25-09-2025,Philosophy
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,20150,02-01-2026,Philosophy
University Of Peshawar,Peshawar,BS,4 Years,71000,23-09-2025,Philosophy
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,Philosophy
Aga Khan University,Karachi,BS,4 Years,978500,30-09-2024,Philosophy
Forman Christian College,Lahore,BS (HONS),4 Years,358200,30-11-2025,Philosophy
Apwa Degree College For Women[jail Road],Lahore,AD,2 Years,0,02-10-2024,Philosophy
Aga Khan University,Karachi,BS,4 Years,0,17-12-2024,Philosophy
