Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,B.Sc.,4 Years,47800,26-08-2025,Physiotherapy
Government College University,Faisalabad,DPT,5 Years,50800,24-06-2025,Physiotherapy
Liaquat University Of Medical And Health Sciences,Jamshoro,DPT,5 Years,90000,10-10-2025,Physiotherapy
Dow University Of Health Sciences,Karachi,DPT,5 Years,103000,13-12-2025,Physiotherapy
King Edward Medical University / Mayo Hospital,Lahore,DPT,5 Years,54000,10-12-2025,Physiotherapy
Peoples University Of Medical And Health Sciences For Women,Nawab Shah,DPT,5 Years,50000,31-10-2025,Physiotherapy
Khyber Medical University,Peshawar,DPT,5 Years,80000,30-10-2025,Physiotherapy
University Of Balochistan,Quetta,BS,4 Years,40000,05-01-2026,Physiotherapy
Rawalpindi Medical University,Rawalpindi,B.Sc.,2 Years,0,15-01-2026,Physiotherapy
University Of Sargodha,Sargodha,DPT,5 Years,74220,11-07-2025,Physiotherapy
The University Of Faisalabad,Faisalabad,DPT,5 Years,360000,07-10-2023,Physiotherapy
Isra University/hospital,Hyderabad,B.Sc. [Hons],4 Years,250000,15-12-2023,Physiotherapy
Riphah International University,Islamabad,DPT,5 Years,277000,30-07-2025,Physiotherapy
Shifa Tameer-e-millat University,Islamabad,DPT,4 Years,290000,02-08-2022,Physiotherapy
Baqai Medical University,Karachi,DPT,5 Years,150000,18-10-2024,Physiotherapy
Shaheed Benazir Bhutto Dewan University,Karachi,DPT,5 Years,146000,15-02-2026,Physiotherapy
The Superior University,Lahore,DPT,5 Years,228000,31-01-2026,Physiotherapy
The University Of Lahore ( Main Campus ),Lahore,DPT,5 Years,245500,03-01-2026,Physiotherapy
University Of Management And Technology,Lahore,DPT,5 Years,337250,16-11-2024,Physiotherapy
University Of South Asia,Lahore,DPT,5 Years,198000,05-11-2022,Physiotherapy
Sarhad University Of Science & Information Technology,Peshawar,DPT,5 Years,88500,05-12-2025,Physiotherapy
University Of Sargodha (lyallpur Campus),Faisalabad,DPT,5 Years,0,13-11-2017,Physiotherapy
University Of Sargodha ( Lahore Campus ),Lahore,DPT,5 Years,0,30-09-2017,Physiotherapy
Government College University Faisalabad (layyah Campus),Layyah,DPT,5 Years,0,04-09-2023,Physiotherapy
The University Of Lahore ( Chanab Campus),Gujrat,DPT,5 Years,0,13-09-2019,Physiotherapy
Isra University [isb]],Islamabad,DPT,5 Years,530000,05-09-2022,Physiotherapy
Riphah International University Lahore,Lahore,DPT,4 Years,299998,25-01-2026,Physiotherapy
"University Of Management And Technology, Sialkot Campus",Sialkot,DPT,5 Years,0,30-10-2021,Physiotherapy
Allama Iqbal Medical College / Jinnah Hospital,Lahore,B.Sc.,4 Years,0,08-02-2025,Physiotherapy
Sheikh Zayed Medical College/hospital,Rahim Yar Khan,DPT,5 Years,0,31-01-2026,Physiotherapy
Frontier Institute Of Medical Sciences [abbottabad],Abbottabad,DPT,5 Years,0,12-04-2025,Physiotherapy
Grace College Of Health Sciences,Chakwal,DPT,5 Years,0,21-12-2014,Physiotherapy
