Institute,City,Degree,Duration,Fee,Deadline,Subject
Gomal University,D.i. Khan,BS,4 Years,0,31-07-2025,Prosthetics Orthotics
Government College University,Faisalabad,BS,4 Years,49800,24-06-2025,Prosthetics Orthotics
Dow University Of Health Sciences,Karachi,B.Sc. [Hons],4 Years,100000,06-12-2019,Prosthetics Orthotics
King Edward Medical University / Mayo Hospital,Lahore,B.Sc. [Hons],4 Years,54000,10-12-2025,Prosthetics Orthotics
Nishtar Medical College / Nishter Hospital,Multan,BS,4 Years,0,06-01-2026,Prosthetics Orthotics
Khyber Medical University,Peshawar,BS,4 Years,80000,30-10-2025,Prosthetics Orthotics
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Prosthetics Orthotics
Rawalpindi Medical University,Rawalpindi,B.Sc. [Hons],4 Years,0,15-01-2026,Prosthetics Orthotics
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,0,03-01-2026,Prosthetics Orthotics
Riphah International University Lahore,Lahore,BS,4 Years,0,15-01-2024,Prosthetics Orthotics
Bilawal Medical College,Jamshoro,BS,4 Years,0,15-06-2023,Prosthetics Orthotics
Sindh Institute Of Physical Medecine & Rehabilitaion,Karachi,BS,4 Years,0,31-12-2025,Prosthetics Orthotics
National College Of Physical Therapy,Bahawal Pur,BS (HONS),4 Years,0,10-02-2022,Prosthetics Orthotics
Sialkot Medical College,Sialkot,BS,4 Years,0,20-08-2018,Prosthetics Orthotics
Pakistan Institute Of Prosthetic And Orthotic Sciences,Peshawar,BS,4 Years,0,26-12-2025,Prosthetics Orthotics
Armed Forces Institute Of Rehabilitation Medicine,Rawalpindi,BS,4 Years,0,16-01-2026,Prosthetics Orthotics
Pakistan Institute Of Rehabilitation Sciences,Islamabad,BS,4 Years,0,20-03-2022,Prosthetics Orthotics
Mahboob School Of Physiotherapy & Rehabilitation Sciences,Peshawar,BS,4 Years,0,19-09-2019,Prosthetics Orthotics
