Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of Science & Technology,Bannu,BS,4 Years,0,20-09-2025,Surgery Technology
Gomal University,D.i. Khan,BS,4 Years,0,31-07-2025,Surgery Technology
University Of Haripur,Haripur,BS,4 Years,48829,26-01-2026,Surgery Technology
"Shaheed Zulfiqar Ali Bhutto Medical University, Pims",Islamabad,BS,4 Years,0,22-10-2025,Surgery Technology
Dow University Of Health Sciences,Karachi,BS,4 Years,100000,20-12-2025,Surgery Technology
King Edward Medical University / Mayo Hospital,Lahore,B.Sc. [Hons],4 Years,54000,10-12-2025,Surgery Technology
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Surgery Technology
Khyber Medical University,Peshawar,BS,4 Years,80000,30-10-2025,Surgery Technology
University Of Peshawar,Peshawar,BS,4 Years,0,11-08-2025,Surgery Technology
University Of Swabi,Swabi,BS,4 Years,51270,16-09-2025,Surgery Technology
Muslim Youth University,Islamabad,BS,4 Years,0,29-10-2025,Surgery Technology
Shifa Tameer-e-millat University,Islamabad,B.Sc.,4 Years,188000,18-11-2025,Surgery Technology
Shifa Tameer-e-millat University,Islamabad,AD,2.5 Years,14000,18-11-2025,Surgery Technology
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,0,03-01-2026,Surgery Technology
Northern University,Nowshera,BS,4 Years,30250,16-02-2026,Surgery Technology
Abasyn University,Peshawar,BS,4 Years,0,01-02-2026,Surgery Technology
Gandhara University,Peshawar,BS,4 Years,0,25-10-2025,Surgery Technology
Iqra National University,Peshawar,BS,4 Years,77436,07-02-2026,Surgery Technology
Sarhad University Of Science & Information Technology,Peshawar,BS,4 Years,56500,05-12-2025,Surgery Technology
"Kmu Institute Of Health Sciences, G. I. Khan Campus",D.i. Khan,BS,4 Years,0,11-09-2025,Surgery Technology
"Kmu Institute Of Health Sciences, Kohat",Kohat,BS,4 Years,0,11-09-2025,Surgery Technology
"Kmu Institute Of Health Sciences, Hazara",Mansehra,BS,4 Years,0,11-09-2025,Surgery Technology
"Institute Of Health Sciences, Kurram",Para Chinar,BS,4 Years,0,11-09-2025,Surgery Technology
Kmu Institute Of Health Sciences,Swabi,BS,4 Years,0,11-09-2025,Surgery Technology
Kmu Institute Of Health Sciences,Swat,BS,4 Years,0,11-09-2025,Surgery Technology
"Iqra National Univesity, Swat Campus",Swat,BS,4 Years,73638,30-09-2025,Surgery Technology
Institute Of Health Sciences,Islamabad,BS,4 Years,0,11-09-2025,Surgery Technology
Bacha Khan Medical College,Mardan,BS,4 Years,0,28-11-2025,Surgery Technology
Rahman College Of Modern Science,Batkhela,BS,4 Years,0,25-11-2023,Surgery Technology
Khyber Institute Of Medical Sciences,Charsadda,BS,4 Years,0,18-12-2022,Surgery Technology
"Professional College Of Medical Science, Karak Campus",Karak,BS,4 Years,0,14-12-2019,Surgery Technology
Prime Institute Of Health & Management Sciences,Mardan,BS,4 Years,0,19-01-2023,Surgery Technology
"Vertex Institute Of Science & Technology, Mirpur Campus",Mir Pur (ajk),AD,2 Years,0,04-01-2023,Surgery Technology
Ahmad Medical Institute,Peshawar,BS,4 Years,0,01-11-2019,Surgery Technology
Asian Institute Of Medical & Management Sciences,Peshawar,BS,4 Years,0,28-12-2023,Surgery Technology
Ghazali Institute Of Medical Sciences,Peshawar,BS,4 Years,0,08-09-2025,Surgery Technology
Hefa Foundation,Peshawar,BS,4 Years,0,05-11-2020,Surgery Technology
International College Of Health Sciences,Peshawar,BS,4 Years,0,19-11-2022,Surgery Technology
National College Of Nursing,Peshawar,BS,4 Years,0,20-12-2025,Surgery Technology
Pakistan Institute Of Medical And Management Sciencse,Peshawar,BS,4 Years,0,01-11-2022,Surgery Technology
Professional College Of Medical Science,Peshawar,CERT,4 Years,0,14-12-2019,Surgery Technology
Pir Abdul Qadir Shah Jeelani Institute Of Medical Sciences,Gambat,BS,4 Years,0,07-03-2025,Surgery Technology
Kmu Institute Of Medical Sciences,Kohat,BS,4 Years,0,18-10-2024,Surgery Technology
Dr. Ihsanullah Khan Medical Institute,Charsadda,BS (HONS),4 Years,116000,02-10-2022,Surgery Technology
Aman Medical Institute,Islamabad,BS,4 Years,0,17-11-2021,Surgery Technology
Bashir Institute Of Health Sciences,Islamabad,BS,4 Years,0,08-03-2023,Surgery Technology
Kmu Institute Of Health Sciences,Mardan,BS,4 Years,0,11-09-2025,Surgery Technology
Global Institute Of Medical Sciences,Peshawar,BS,4 Years,0,30-11-2024,Surgery Technology
National Institute Of Health And Management Sciences,Peshawar,BS,4 Years,0,20-12-2025,Surgery Technology
Northwest Institute Of Healths Ciences,Peshawar,BS,4 Years,0,27-09-2025,Surgery Technology
Premier Institute Of Health And Management Sciences,Peshawar,BS,4 Years,0,17-09-2024,Surgery Technology
Rehman Medical Institute,Peshawar,BS,4 Years,0,13-09-2025,Surgery Technology
School Of Health Sciences,Peshawar,BS,4 Years,0,30-11-2020,Surgery Technology
