Scholarship Title,Offering Authority,Level,Field,Deadline
HEC Scholarships for Balochistan and Erstwhile Fata,,Bachelor Fields,"All Fields Type Local Category Merit Based Area Balochistan, FATA Deadline",20-10-2025
HEC Stipendium Hungaricum Scholarship for BS MS and PhD,,"Bachelor, Masters, PhD Fields",All Fields Type International Category Merit Based Area All Pakistan Deadline,15-01-2024
Chinese Government Scholarships HEC CSC,,"Bachelor, Masters, PhD Fields",All Fields Type International Category Merit Based Area All Pakistan Deadline,09-12-2024
HEC Undergraduate Scholarships for Balochistan and Erstwhile FATA,,Bachelor Fields,All Fields Type Local Category Merit Based Area Balochistan Deadline,07-10-2024
HEC Undergraduate Scholarship for GB Students,,Bachelor Fields,All Fields Type Local Category Merit Based Area Gilgit Baltistan Deadline,30-09-2024
HEC Undergraduate Scholarship for Gwadar Students,,Bachelor Fields,All Fields Type Local Category Merit Based Area Balochistan Deadline,31-10-2023
USAID MNBSP Undergraduate Scholarship for Flood Affected Students,,Bachelor Fields,All Fields Type Local Category Merit & Need Based Area All Pakistan Deadline,16-08-2023
Benazir Undergraduate Scholarship (Ehsaas),,Bachelor Fields,All Fields Type Local Category Need Based Area All Pakistan Deadline,30-11-2000
NUR International University Launched Special Scholarship Program,,"Bachelor, Masters Fields",All Fields Type Local Category Merit & Need Based Area All Pakistan Deadline,17-03-2023
HEC Need Based Scholarship,,Bachelor Fields,All Fields Type Local Category Need Based Area All Pakistan Deadline N,
HEC Rehmatul lil Alameen Scholarship,,Bachelor Fields,All Fields Type Local Category Need Based Area All Pakistan Deadline N,
HEC Allama Muhammad Iqbal Scholarship for Afghan national,,"Bachelor, Masters, PhD Fields",All Fields Type Local Category Merit Based Area Deadline,30-11-2020
HEC Need Based Scholarship Program for Undergraduate,,Bachelor Fields,"Engineering & IT, Natural Sciences, Agriculture, Management Sciences Type Local Category Merit & Need Based Area All Pakistan Deadline N",
HEC Indigenous Scholarship For PhD,,"Bachelor, MS/MPhil, Masters, PhD Fields",All Fields Type Local Category Merit & Need Based Area All Pakistan Deadline N,
HEC Scholarship for Undergraduate students at MUST,,Bachelor Fields,All Fields Type Local Category Merit & Need Based Area All Pakistan Deadline,30-11-2000
NTS Pakistan Announced Need Based Scholarship Program,,Bachelor Fields,All Fields Type Local Category Need Based Area All Pakistan Deadline N,
HEC-CRBC Scholarship Program,,"Bachelor, MS/MPhil, Masters, PhD Fields",Engineering & IT Type Local Category Merit & Need Based Area All Pakistan Deadline N,
The Joint Japan/World Bank Graduate Scholarship Program,,"Bachelor, MS/MPhil Fields",All Fields Type International Category Merit Based Area All Pakistan Deadline N,
OGDCL Need Based Scholarships Program through HEC,,"Bachelor, MS/MPhil Fields",All Fields Type Local Category Need Based Area All Pakistan Deadline N,
Gwadar-China Scholarship Program,,"Bachelor, MS/MPhil Fields",All Fields Type Local Category Merit & Need Based Area Balochistan Deadline N,
NTS Announced Need Based Scholarship Program for NTS Associated Universities/ Institutions,,Bachelor Fields,All Fields Type Local Category Need Based Area All Pakistan Deadline N,
