university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Air University,Islamabad,Department of Computer,MS,Computer Science,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,Department of Computer,PhD,,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,Department of Cyber Dr. Mohammad,BS,,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,Department of Cyber Dr. Mohammad,MS,,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,Department of Cyber Dr. Mohammad,PhD,,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,MS,BS,,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,MS,MS,,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,PhD,PhD,Dr. Maria Farooq,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,"Department of Humanities,",MS,Clinical,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,"Department of Humanities,",BS,Business Administration,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,"Department of Humanities,",BS,Accounting,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,"Department of Humanities,",BS,Aviation Mr. Muhammad,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,"Department of Humanities,",BS,Tourism,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,"Department of Humanities,",BS,Healthcare,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,"Department of Humanities,",MS,Project Mr. Muhammad,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,"Department of Humanities,",MS,,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,"Department of Humanities,",MS,Business,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,"Department of Humanities,",PhD,,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,Department of Computer,MS,Computer Science,2 Years,As per Air University & HEC criteria,GAT (General) / AU Test,125000.0,"August 31, 2026",https://www.au.edu.pk
Air University,Islamabad,Department of Cyber Dr. Mohammad,PhD,,3–5 Years,As per Air University & HEC criteria,GAT (Subject) + Interview,150000.0,"August 31, 2026",https://www.au.edu.pk
Air University,Islamabad,"Department of Physics BS, MS & PhD Dr. Muhammad Atif - -",PhD,Dr. Maria Farooq,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000.0,"August 31, 2026",https://www.au.edu.pk/
Air University,Islamabad,"Department of Humanities,",MS,Clinical,2 Years,As per Air University & HEC criteria,GAT (General) / AU Test,125000.0,"August 31, 2026",https://www.au.edu.pk
Air University,Islamabad,"Department of Humanities,",MS,Business Administration,4 Years,As per Air University & HEC criteria,Air University Admission Test,95000.0,"August 31, 2026",https://www.au.edu.pk
