university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Air University,Islamabad,Department of Computer Science,MPhil,Computer Science,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Department of Computer Science,PhD,Computer Science,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Department of Cyber Security,BS,Cyber Security,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Department of Cyber Security,MPhil,Cyber Security,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Department of Cyber Security,PhD,Cyber Security,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Computing & AI,BS,Computer Science,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Computing & AI,MPhil,Computer Science,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Computing & AI,PhD,Computer Science,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Management & Social Sciences,MPhil,Clinical,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Management & Social Sciences,BS,Business Administration,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Management & Social Sciences,BS,Accounting,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Management & Social Sciences,BS,Aviation,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Management & Social Sciences,BS,Tourism,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Management & Social Sciences,BS,Healthcare,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Management & Social Sciences,MPhil,Project,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Management & Social Sciences,MPhil,Management Sciences,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Management & Social Sciences,MPhil,Business,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Management & Social Sciences,PhD,Management Sciences,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Department of Computer Science,MS,Computer Science,2 Years,As per Air University & HEC criteria,GAT (General) / AU Test,125000.0,31-August-2026,https://www.au.edu.pk
Air University,Islamabad,Department of Cyber Security,PhD,Cyber Security,3–5 Years,As per Air University & HEC criteria,GAT (Subject) + Interview,150000.0,31-August-2026,https://www.au.edu.pk
Air University,Islamabad,Department of Physics,PhD,Physics,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000.0,31-August-2026,https://www.au.edu.pk/
Air University,Islamabad,Faculty of Management & Social Sciences,MS,Clinical,2 Years,As per Air University & HEC criteria,GAT (General) / AU Test,125000.0,31-August-2026,https://www.au.edu.pk
Air University,Islamabad,Faculty of Management & Social Sciences,BS,Business Administration,4 Years,As per Air University & HEC criteria,Air University Admission Test,95000.0,31-August-2026,https://www.au.edu.pk
Aga Khan University,Karachi,Medical College,BS,Medicine & Surgery,5 Years,FSc (Pre-Medical) / A-Levels,AKU MCAT + Interview,650000.0,31-March-2026,https://www.aku.edu/admissions/mbbs/Pages/home.aspx
Aga Khan University,Karachi,Faculty of Arts & Sciences,BS,Studies,4 Years,Intermediate / A-Levels (relevant discipline),AKU Admission Test + Interview,300000.0,31-March-2026,https://www.aku.edu/admissions/bs/Pages/home.aspx
Aga Khan University,Karachi,School of Nursing & Midwifery,BS,Dental Hygiene,2 Years,Intermediate / A-Levels (relevant discipline),AKU Admission Test + Interview,180000.0,31-March-2026,https://www.aku.edu/admissions/asdh/Pages/home.aspx
Aga Khan University,Karachi,School of Nursing & Midwifery,BS,Nursing,2 Years,Intermediate / A-Levels (relevant discipline),AKU Admission Test + Interview,200000.0,31-March-2026,https://www.aku.edu/admissions/post-rnbscn/Pages/home.aspx
Aga Khan University,Karachi,School of Nursing & Midwifery,BS,Midwifery,2 Years,Intermediate / A-Levels (relevant discipline),AKU Admission Test + Interview,200000.0,31-March-2026,https://www.aku.edu/admissions/post-rmbscm/Pages/home.aspx
Aga Khan University,Karachi,Institute for Educational Development (IED),BS,Education,4 Years,Intermediate / A-Levels (relevant discipline),AKU Admission Test + Interview,180000.0,31-March-2026,https://www.aku.edu/admissions/bed/Pages/home.aspx
Aga Khan University,Karachi,Institute for Educational Development (IED),MS,Education,2 Years,16–18 years of education (relevant discipline),AKU Admission Test + Interview,250000.0,30-April-2026,https://www.aku.edu/admissions/Pages/graduate.aspx
Aga Khan University,Karachi,Institute for Educational Development (IED),MPhil,Education (MPhil Education,2 Years,16–18 years of education (relevant discipline),AKU Admission Test + Interview,275000.0,30-April-2026,https://www.aku.edu/admissions/mphil-education/Pages/home.aspx
