University,City,Faculty,Department,Degree_Level,Program_Name,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_Source
Air University,Islamabad,Faculty of Engineering,Department of Computer,Graduate (MS/MPhil),MSCS,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of Engineering,Department of Computer,Graduate (PhD),PhD,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of,Department of Cyber Dr. Mohammad,Undergraduate,BS,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of,Department of Cyber Dr. Mohammad,Graduate (MS/MPhil),MS,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of,Department of Cyber Dr. Mohammad,Graduate (PhD),PhD 051-9153684 0321-5015699 m.imran@mail.au.edu.pk,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,,,Undergraduate,BS,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,,,Graduate (MS/MPhil),MS,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,,,Graduate (PhD),PhD Dr. Maria Farooq,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Graduate (MS/MPhil),MS Clinical 051-9153742 zoafshan@mail.au.edu.pk,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Undergraduate,BBA (Hons) Ms. Fakhra Mushtaq 051-9153772 fakhra.malik@mail.au.edu.pk,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Undergraduate,BS Accounting,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Undergraduate,BS Aviation Mr. Muhammad,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Undergraduate,BS Tourism,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Undergraduate,BS Healthcare,4 Years,Intermediate / A-Levels (relevant discipline),Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of,"Department of Humanities,",Graduate (MS/MPhil),MS Project Mr. Muhammad,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of,"Department of Humanities,",Graduate (MS/MPhil),MS,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of,"Department of Humanities,",Graduate (MS/MPhil),MS Business,2 Years,BS / BE (relevant discipline),GAT (General) / AU Test,125000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of,"Department of Humanities,",Graduate (PhD),PhD,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000,"August 31, 2026",Official AU Admissions PDF
Air University,Islamabad,Faculty of BS IR Ms. Ayesha Malik 051-9153370 ayesha.malik@mail.au.edu.pk,"Department of Humanities,",Graduate (PhD),PhD,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000,"August 31, 2026",Official AU Admissions PDF
