University,University_URL,City,Faculty,Department,Degree_Level,Program_Name,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_Source
Air University,https://www.au.edu.pk,Islamabad,Faculty of Engineering,Department of Computer,Graduate (MS/MPhil),MS Computer Science,2 Years,As per Air University & HEC criteria,GAT (General) / AU Test,125000,"August 31, 2026",Official AU Admissions PDF
Air University,https://www.au.edu.pk,Islamabad,Faculty of,Department of Cyber Dr. Mohammad,Graduate (PhD),PhD - -,3–5 Years,As per Air University & HEC criteria,GAT (Subject) + Interview,150000,"August 31, 2026",Official AU Admissions PDF
Air University,https://www.au.edu.pk,Islamabad,Faculty of Dr. Sardar,"Department of Physics BS, MS & PhD Dr. Muhammad Atif - -",Graduate (PhD),PhD Dr. Maria Farooq,3–5 Years,As per Air University & HEC criteria,GAT (Subject) + Interview,150000,"August 31, 2026",Official AU Admissions PDF
Air University,https://www.au.edu.pk,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Graduate (MS/MPhil),MS Clinical -,2 Years,As per Air University & HEC criteria,GAT (General) / AU Test,125000,"August 31, 2026",Official AU Admissions PDF
Air University,https://www.au.edu.pk,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Undergraduate,BBA (Hons) Ms. Fakhra Mushtaq -,4 Years,As per Air University & HEC criteria,Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,https://www.au.edu.pk,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Undergraduate,BS Accounting,4 Years,As per Air University & HEC criteria,Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,https://www.au.edu.pk,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Undergraduate,BS Aviation Mr. Muhammad,4 Years,As per Air University & HEC criteria,Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,https://www.au.edu.pk,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Undergraduate,BS Tourism,4 Years,As per Air University & HEC criteria,Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,https://www.au.edu.pk,Islamabad,Faculty of M. Phil Dr. Sadaf Zamir,"Department of Humanities,",Undergraduate,BS Healthcare,4 Years,As per Air University & HEC criteria,Air University Admission Test,95000,"August 31, 2026",Official AU Admissions PDF
Air University,https://www.au.edu.pk,Islamabad,Faculty of,"Department of Humanities,",Graduate (MS/MPhil),MS Project Mr. Muhammad,2 Years,As per Air University & HEC criteria,GAT (General) / AU Test,125000,"August 31, 2026",Official AU Admissions PDF
Air University,https://www.au.edu.pk,Islamabad,Faculty of,"Department of Humanities,",Graduate (MS/MPhil),MS Business,2 Years,As per Air University & HEC criteria,GAT (General) / AU Test,125000,"August 31, 2026",Official AU Admissions PDF
