University,City,Degree_Level,School,Program_Name,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow Medical College,MBBS,5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000,"September 30, 2026",https://www.duhs.edu.pk/dow-medical-college/mbbs/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow Dental College,Bachelor of Dental Surgery (BDS),5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000,"September 30, 2026",https://www.duhs.edu.pk/dow-dental-college/bachelor-of-dentistry-bds/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow International Medical College,MBBS Elective Program at Dow University Hospital – DIMC-DUHS for Students of other Medical Colleges,5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000,"September 30, 2026",https://www.duhs.edu.pk/wp-content/uploads/2026/01/MBBS-Elective-Program-at-Dow-University-Hospital-DIMC-DUHS-for-Students-of-other-Medical-Colleges.pdf
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow International Medical College,MBBS,5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000,"September 30, 2026",https://www.duhs.edu.pk/dow-international-medical-college/mbbs/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow International Medical College,Bachelor of Science in Optometry,4 Years,FSc (Pre-Medical),DUHS Entry Test,60000,"September 30, 2026",https://www.duhs.edu.pk/dow-international-medical-college/bs-optometry/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow International Dental College,Bachelor of Dental Surgery (BDS),5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000,"September 30, 2026",https://www.duhs.edu.pk/dow-international-dental-college/bachelor-of-dentistry-bds/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Institute of Oral Health Sciences,Bachelor of Dental Surgery (BDS),5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000,"September 30, 2026",https://www.duhs.edu.pk/dr-ishrat-ul-ebad-khan-institute-of-oral-health-sciences/bachelor-of-dentistry-bds/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,School of Dental Care Professionals,Bachelor of Science in DCP (Dental Hygiene),4 Years,Intermediate (relevant discipline),DUHS Entry Test,55000,"September 30, 2026",https://www.duhs.edu.pk/dow-school-of-dental-care-professional/dental-hygiene-bs-dcp/https://www.duhs.edu.pk/dow-school-of-dental-care-professional/dental-hygiene-bs-dcp/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,School of Dental Care Professionals,Bachelor of Science in DCP (Dental Technology),4 Years,Intermediate (relevant discipline),DUHS Entry Test,55000,"September 30, 2026",https://www.duhs.edu.pk/dow-school-of-dental-care-professional/dental-technology-bs-dcp/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow College of Biotechnology,Bachelor of Science in Biotechnology,4 Years,FSc (Pre-Medical / Pre-Engg),DUHS Entry Test,55000,"September 30, 2026",https://www.duhs.edu.pk/dow-college-of-biotechnology/bachelors-in-biotechnology/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow Institute of Medical Technology,BS Medical Technology (Perfusion Sciences),4 Years,FSc (Pre-Medical),DUHS Entry Test,60000,"September 30, 2026",https://www.duhs.edu.pk/dow-institute-of-medical-technology/perfusion-sciences/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow Institute of Medical Technology,BS Medical Technology (Respiratory and Critical Care Technology),4 Years,FSc (Pre-Medical),DUHS Entry Test,60000,"September 30, 2026",https://www.duhs.edu.pk/dow-institute-of-medical-technology/respiratory-critical-care-technology/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow Institute of Medical Technology,BS Optometry and Visual Sciences,4 Years,FSc (Pre-Medical),DUHS Entry Test,60000,"September 30, 2026",https://www.duhs.edu.pk/dow-institute-of-medical-technology/optometryandvisualsciences/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow Institute of Medical Technology,BS Medical Technology (Surgical Technology),4 Years,FSc (Pre-Medical),DUHS Entry Test,60000,"September 30, 2026",https://www.duhs.edu.pk/dow-institute-of-medical-technology/surgical-technology/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow Institute of Nursing & Midwifery,Bachelor of Science in Nursing,4 Years,FSc (Pre-Medical),DUHS Entry Test,60000,"September 30, 2026",https://www.duhs.edu.pk/dow-institute-of-nursing-and-midwifery/generic-nursing/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Dow Institute of Radiology,Bachelor of Science in Radiologic Technology,4 Years,Intermediate (relevant discipline),DUHS Entry Test,55000,"September 30, 2026",https://www.duhs.edu.pk/dow-institute-of-radiology/radiologic-technology-bsrt/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Institute of Behavioral Sciences,Bachelor of Science in Psychology,4 Years,FSc (Pre-Medical / Pre-Engg),DUHS Entry Test,55000,"September 30, 2026",https://www.duhs.edu.pk/dr-a-q-khan-institute-of-behavioral-sciences/bs-psychology/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Institute of Business & Health Management,Bachelor of Science in Healthcare Management & Leadership (BS-HML) (4 Years) (Morning – Ojha Campus),4 Years,Intermediate (relevant discipline),DUHS Entry Test,55000,"September 30, 2026",https://www.duhs.edu.pk/institute-of-business-and-health-management/bachelors-in-healthcare-management-leadership-4-years
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Institute of Business & Health Management,Bachelor of Science in Accounting & Finance,4 Years,Intermediate (any group),DUHS Entry Test,65000,"September 30, 2026",https://www.duhs.edu.pk/institute-of-business-and-health-management/bs-accounting-finance-4-year/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Institute of Business & Health Management,Bachelor of Business Administration (BBA) 4-Year,4 Years,Intermediate (any group),DUHS Entry Test,65000,"September 30, 2026",https://www.duhs.edu.pk/institute-of-business-and-health-management/bachelors-in-business-administration-4-years/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,Institute of Business & Health Management,Bachelor of Business Administration (BBA) (2-Years) (Morning – Ojha Campus),4 Years,Intermediate (any group),DUHS Entry Test,65000,"September 30, 2026",https://www.duhs.edu.pk/institute-of-business-and-health-management/bachelors-in-business-administration-2-years/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,School of Public Health,Bachelor of Science in Nutrition,4 Years,FSc (Pre-Medical / Pre-Engg),DUHS Entry Test,55000,"September 30, 2026",https://www.duhs.edu.pk/school-of-public-health/bachelors-in-nutrition/
Dow University of Health Sciences (DUHS),Karachi,Undergraduate,School of Public Health,Bachelor of Science in Public Health,4 Years,FSc (Pre-Medical / Pre-Engg),DUHS Entry Test,55000,"September 30, 2026",https://www.duhs.edu.pk/school-of-public-health/bachelors-in-public-health/
Dow University of Health Sciences (DUHS),Karachi,Postgraduate (Masters),Institute of Business & Health Management,Master of Business Administration (MBA) 2-Year Program,2 Years,16 years education,DUHS Test / Interview,90000,"October 15, 2026",https://www.duhs.edu.pk/institute-of-business-and-health-management/master-in-business-administration-2-years/
Dow University of Health Sciences (DUHS),Karachi,Postgraduate (Masters),Institute of Business & Health Management,Master of Business Administration (MBA) (1.5 Years) Program,2 Years,16 years education,DUHS Test / Interview,90000,"October 15, 2026",https://www.duhs.edu.pk/institute-of-business-and-health-management/master-in-business-administration-weekend-1-5y/
Dow University of Health Sciences (DUHS),Karachi,Postgraduate (Masters),Dow Institute of Nursing & Midwifery,Masters in Nursing,2 Years,BSN / RN + BS,DUHS Test,80000,"October 15, 2026",https://www.duhs.edu.pk/dow-institute-of-nursing-and-midwifery/masters-in-nursing/
Dow University of Health Sciences (DUHS),Karachi,Postgraduate (Masters),Dow Institute of Health Professional Education,Masters of Health Professions Education (MHPE),2 Years,MBBS / BDS / BS Health,DUHS Test,75000,"October 15, 2026",https://www.duhs.edu.pk/dow-institute-of-health-professional-education/masters-of-health-professions-education-mhpe/
