Institute,City,Campus,Degree,Program,Program URL,Duration,Eligibility,Admission Test,Fee,Fee Amount (PKR),Fee Basis
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,BS,Bachelor of Business Administration,https://www.nu.edu.pk/Degree-Programs,4 Years,FSc / A-Levels or equivalent,FAST Admission Test,As per FAST Fee Structure,150000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,BS,Bachelor of Science (Accounting and Finance),https://www.nu.edu.pk/Degree-Programs,4 Years,FSc / A-Levels or equivalent,FAST Admission Test,As per FAST Fee Structure,150000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,BS,Bachelor of Science (Artificial Intelligence),https://www.nu.edu.pk/Degree-Programs,4 Years,FSc / A-Levels or equivalent,FAST Admission Test,As per FAST Fee Structure,150000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,BS,Bachelor of Science (Business Analytics),https://www.nu.edu.pk/Degree-Programs,4 Years,FSc / A-Levels or equivalent,FAST Admission Test,As per FAST Fee Structure,150000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,BS,Bachelor of Science (Computer Engineering),https://www.nu.edu.pk/Degree-Programs,4 Years,FSc / A-Levels or equivalent,FAST Admission Test,As per FAST Fee Structure,150000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,BS,Bachelor of Science (Computer Science),https://www.nu.edu.pk/Degree-Programs,4 Years,FSc / A-Levels or equivalent,FAST Admission Test,As per FAST Fee Structure,150000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,BS,Bachelor of Science (Cyber Security),https://www.nu.edu.pk/Degree-Programs,4 Years,FSc / A-Levels or equivalent,FAST Admission Test,As per FAST Fee Structure,150000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,BS,Bachelor of Science (Data Science),https://www.nu.edu.pk/Degree-Programs,4 Years,FSc / A-Levels or equivalent,FAST Admission Test,As per FAST Fee Structure,150000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,BS,Bachelor of Science (Electrical Engineering),https://www.nu.edu.pk/Degree-Programs,4 Years,FSc / A-Levels or equivalent,FAST Admission Test,As per FAST Fee Structure,150000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,BS,Bachelor of Science (Financial Technology),https://www.nu.edu.pk/Degree-Programs,4 Years,FSc / A-Levels or equivalent,FAST Admission Test,As per FAST Fee Structure,150000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,BS,Bachelor of Science (Software Engineering),https://www.nu.edu.pk/Degree-Programs,4 Years,FSc / A-Levels or equivalent,FAST Admission Test,As per FAST Fee Structure,150000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,MS,Master of Business Administration,https://www.nu.edu.pk/Degree-Programs,2 Years,Relevant BS (16 years education),GAT (General) or FAST Test,As per FAST Fee Structure,180000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,MS,Master of Science (Artificial Intelligence),https://www.nu.edu.pk/Degree-Programs,2 Years,Relevant BS (16 years education),GAT (General) or FAST Test,As per FAST Fee Structure,180000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,MS,Master of Science (Business Analytics),https://www.nu.edu.pk/Degree-Programs,2 Years,Relevant BS (16 years education),GAT (General) or FAST Test,As per FAST Fee Structure,180000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,MS,Master of Science (Computer Science),https://www.nu.edu.pk/Degree-Programs,2 Years,Relevant BS (16 years education),GAT (General) or FAST Test,As per FAST Fee Structure,180000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,MS,Master of Science (Cyber Security),https://www.nu.edu.pk/Degree-Programs,2 Years,Relevant BS (16 years education),GAT (General) or FAST Test,As per FAST Fee Structure,180000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,MS,Master of Science (Data Science),https://www.nu.edu.pk/Degree-Programs,2 Years,Relevant BS (16 years education),GAT (General) or FAST Test,As per FAST Fee Structure,180000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,MS,Master of Science (Electrical Engineering),https://www.nu.edu.pk/Degree-Programs,2 Years,Relevant BS (16 years education),GAT (General) or FAST Test,As per FAST Fee Structure,180000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,MS,Master of Science (Software Engineering),https://www.nu.edu.pk/Degree-Programs,2 Years,Relevant BS (16 years education),GAT (General) or FAST Test,As per FAST Fee Structure,180000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,PhD,Doctor of Philosophy (Computer Science),https://www.nu.edu.pk/Degree-Programs,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,As per FAST Fee Structure,135000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,PhD,Doctor of Philosophy (Electrical Engineering),https://www.nu.edu.pk/Degree-Programs,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,As per FAST Fee Structure,135000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,PhD,Doctor of Philosophy (Management Sciences),https://www.nu.edu.pk/Degree-Programs,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,As per FAST Fee Structure,135000,Per Semester
FAST National University of Computer & Emerging Sciences,Islamabad,Islamabad Campus,PhD,Doctor of Philosophy (Software Engineering),https://www.nu.edu.pk/Degree-Programs,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,As per FAST Fee Structure,135000,Per Semester
