University,City,Degree_Level,School,Program_Name,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
Institute of Business Administration (IBA),Karachi,Undergraduate,IBA Karachi,BBA,4 Years,Intermediate / A-Levels / IB or equivalent,IBA Admission Test / SAT,529200,"March 25, 2026",http://bba.iba.edu.pk/
Institute of Business Administration (IBA),Karachi,Undergraduate,IBA Karachi,BS Business Analytics,4 Years,Intermediate / A-Levels / IB or equivalent,IBA Admission Test / SAT,529200,"March 25, 2026",https://sbs.iba.edu.pk/business-analytics.php
Institute of Business Administration (IBA),Karachi,Undergraduate,IBA Karachi,BS (Accounting & Finance),4 Years,Intermediate / A-Levels / IB or equivalent,IBA Admission Test / SAT,529200,"March 25, 2026",http://accounting.iba.edu.pk/index.php
Institute of Business Administration (IBA),Karachi,Undergraduate,IBA Karachi,BS (Computer Science),4 Years,Intermediate / A-Levels / IB or equivalent,IBA Admission Test / SAT,529200,"March 25, 2026",https://cs.iba.edu.pk/bscs/aboutbscs.php
Institute of Business Administration (IBA),Karachi,Undergraduate,IBA Karachi,BS (Economics),4 Years,Intermediate / A-Levels / IB or equivalent,IBA Admission Test / SAT,529200,"March 25, 2026",https://economics.iba.edu.pk/bs-economics.php
Institute of Business Administration (IBA),Karachi,Undergraduate,IBA Karachi,BS (Economics & Mathematics),4 Years,Intermediate / A-Levels / IB or equivalent,IBA Admission Test / SAT,529200,"March 25, 2026",https://economics.iba.edu.pk/bs-em.php
Institute of Business Administration (IBA),Karachi,Undergraduate,IBA Karachi,BS (Mathematics),4 Years,Intermediate / A-Levels / IB or equivalent,IBA Admission Test / SAT,529200,"March 25, 2026",https://mathematics.iba.edu.pk/bsmathematics/
Institute of Business Administration (IBA),Karachi,Undergraduate,IBA Karachi,BS (Social Sciences & Liberal Arts),4 Years,Intermediate / A-Levels / IB or equivalent,IBA Admission Test / SAT,529200,"March 25, 2026",http://ssla.iba.edu.pk/
Institute of Business Administration (IBA),Karachi,Graduate (MS),IBA Karachi,Executive MBA,2 Years,Bachelor’s degree (16 years education),IBA Admission Test / GAT / GRE (program dependent),468000,"March 25, 2026",https://emba.iba.edu.pk/
Institute of Business Administration (IBA),Karachi,Graduate (MS),IBA Karachi,MBA,2 Years,Bachelor’s degree (16 years education),IBA Admission Test / GAT / GRE (program dependent),468000,"March 25, 2026",https://mba.iba.edu.pk/
Institute of Business Administration (IBA),Karachi,Graduate (MS),IBA Karachi,MS (Computer Science),2 Years,Bachelor’s degree (16 years education),IBA Admission Test / GAT / GRE (program dependent),468000,"March 25, 2026",https://cs.iba.edu.pk/mscs/aboutmscs.php
Institute of Business Administration (IBA),Karachi,Graduate (MS),IBA Karachi,MS (Data Science),2 Years,Bachelor’s degree (16 years education),IBA Admission Test / GAT / GRE (program dependent),468000,"March 25, 2026",https://cs.iba.edu.pk/msds/aboutmsds.php
Institute of Business Administration (IBA),Karachi,Graduate (MS),IBA Karachi,MS (Development Studies),2 Years,Bachelor’s degree (16 years education),IBA Admission Test / GAT / GRE (program dependent),468000,"March 25, 2026",https://msdev.iba.edu.pk/about-program.php
Institute of Business Administration (IBA),Karachi,Graduate (MS),IBA Karachi,MS (Economics),2 Years,Bachelor’s degree (16 years education),IBA Admission Test / GAT / GRE (program dependent),468000,"March 25, 2026",https://economics.iba.edu.pk/graduate.php
