University,City,Degree_Level,School,Program_Name,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Business Management,BS Entrepreneurship,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-entrepreneurship/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Business Management,BS Economics and Finance,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/program-name/bs-economics-and-finance/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Business Management,BS Accounting and Finance,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/program-name/bs-accounting-and-finance/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Business Management,BS Supply Chain Management,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-supply-chain-management/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Business Management,BS in Business Intelligence and Analytics,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-in-business-intelligence-and-analytics/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Business Management,Bachelor of Business Administration (BBA),4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bachelor-of-business-administration-bba/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Business Management,BS Economics,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-economics/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Economics & Social Development,BS Psychology,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-psychology/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Economics & Social Development,BS Honors Media Studies,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-honorsmedia-studies/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Economics & Social Development,BS Business and Psychology,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-business-and-psychology/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Economics & Social Development,B.Ed Honors (1.5 Years),1.5–2.5 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/b-ed-honors-1-5-years/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Economics & Social Development,B.Ed Honors (2.5 Years),1.5–2.5 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/b-ed-honors-2-5-years/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Computer Science & Information Systems,BS Data Science,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-data-science/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Computer Science & Information Systems,BS Computer Science,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-computer-science/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Computer Science & Information Systems,BS Software Engineering,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-software-engineering/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Computer Science & Information Systems,BS Computer Engineering,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-computer-engineering/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Computer Science & Information Systems,BS Statistics & Business Analytics,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-statistics-business-analytics/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Engineering & Sciences,BS Mathematics and Economics,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-mathematics-and-economics/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Engineering & Sciences,BS Mathematics and Computational Finance,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-mathematics-and-computational-finance/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Engineering & Sciences,BS Actuarial Science and Risk Management,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-actuarial-science-and-risk-management/
Institute of Business Management (IoBM),Karachi,Undergraduate,College of Engineering & Sciences,BS Technology Management,4 Years,Intermediate / A-Levels / IB or equivalent,IoBM Admission Test / SAT,140000,"August 31, 2026",https://iobm.edu.pk/programs/bs-technology-management/
Institute of Business Management (IoBM),Karachi,Graduate (Masters),College of Business Management,MS in Business Management,2 Years,16 years education (relevant discipline),IoBM Graduate Admission Test / GAT (General),160000,"September 30, 2026",https://iobm.edu.pk/programs/ms-in-business-management/
Institute of Business Management (IoBM),Karachi,Graduate (Masters),College of Business Management,Master of Business Administration (MBA),2 Years,16 years education (relevant discipline),IoBM Graduate Admission Test / GAT (General),160000,"September 30, 2026",https://iobm.edu.pk/programs/master-of-business-administration/
