University,City,Degree_Level,School,Program_Name,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelor of Laws (LLB),5 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelor-of-laws/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelor of AI & Digital Media,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelor-of-ai-digital-media/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Entrepreneurship,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-entrepreneurship/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelor of Finance & Technology,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelor-of-finance-technology/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Accounting & Finance,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-accounting-finance/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,BS Artificial Intelligence,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-science-in-artificial-intelligence/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelor of Cyber Security,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelor-of-cyber-security/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelor of Clinical Psychology,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelor-of-clinical-psychology/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,BE Information Security,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelor-of-engineering-in-information-security/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,BS Applied Computing,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bs-applied-computing/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Food Science & Technology,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-food-science-technology/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Fashion Merchandising & Marketing,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-fashion-merchandising-marketing/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Textile Design,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-textile-design/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Microbiology,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-microbiology/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Human Nutrition & Dietetics,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-human-nutrition-dietetics/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Doctor of Pharmacy (Pharm-D),5 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/doctor-of-pharmacy/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Nursing,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-nursing/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of English,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-english/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Digital Marketing,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-digital-marketing/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,BS Computer Science,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-science-in-computer-science/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Business Analytics,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-business-analytics/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Psychology,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-psychology/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Media Science,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-media-science/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Bachelors of Education,4 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/bachelors-of-education/
Iqra University,Karachi,Undergraduate,Iqra University Karachi,Post-RN BS Nursing,2 Years,Intermediate / A-Levels (relevant discipline),Iqra University Admission Test,110000,"August 31, 2026",https://iqra.edu.pk/programs/post-rn-bachelor-of-science-in-nursing/
