Institute,City,Program Title,Degree,Degree Level,Duration,Eligibility Criteria,Admission Test,Program URL,Admission Deadline,Fee (PKR per semester),Fee URL
Lahore School of Economics,Lahore,E-library,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://repository.lahoreschool.edu.pk/xmlui,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,Accreditation,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/accreditation,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,E-mail,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://mail.lahoreschool.edu.pk/,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,Undergraduate Programs,MS,Graduate,1.5–2 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,GRE / HAT + Interview,https://lahoreschoolofeconomics.edu.pk/getAcademicProgramsListings/1,"June 23, 2026",350000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,MBA Program,MBA,Graduate,1.5–2 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,LSE Admission Test OR GRE/HAT + Interview,https://lahoreschoolofeconomics.edu.pk/getAcademicProgramsListings/2,"June 23, 2026",500000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,Graduate Programs,MS,Graduate,1.5–2 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,GRE / HAT + Interview,https://lahoreschoolofeconomics.edu.pk/getAcademicProgramsListings/3,"June 23, 2026",350000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,Executive MBA,Executive MBA,Graduate,2.5 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,LSE Admission Test OR GRE/HAT + Interview,https://lahoreschoolofeconomics.edu.pk/getAcademicProgramsListings/4,"June 23, 2026",500000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Economics and Finance,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/1,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Economics and Data Analytics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/40,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Economics and Mathematics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/2,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Economics and Business Management,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/3,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Economics and Accounting,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/4,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Economics and Marketing,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/5,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Economics and Political Science,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/6,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Economics and Minor in Environmental Policy,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/7,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Economics and Minor in Mathematics and Data Analytics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/8,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Economics and Minor in Social Sciences,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/9,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Economics and Minor in Development Studies,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/10,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Economics and Public Policy,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/54,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Economics and Minor in Business Management,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/41,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Economics and Minor in Public Policy,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/55,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BBA Double Major in Finance and Marketing,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/11,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Accounting and Finance,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/12,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BBA Major in Finance and Minor in Mathematics and Data Analytics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/13,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BBA Major in Finance and Minor in Environmental Policy,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/14,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BBA Major in Marketing and Minor in Mathematics and Data Analytics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/15,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BBA Major in Marketing and Minor in Media Studies,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/16,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BBA Major in Marketing and Minor in Social Sciences,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/17,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BBA Major in Finance and Minor in Economics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/42,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BBA Major in Finance and Minor in Public Policy,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/56,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BBA Major in Marketing and Minor in Public Policy,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/57,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BBA Major in Marketing and Minor in Communication Design,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/58,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Social Sciences with Major in English and Minor in Media Studies,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/18,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Social Sciences with Major in English and Minor in Business Management,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/19,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Social Sciences with Major in Political Science and Minor in Media Studies,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/20,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Social Sciences with Major in Political Science and Minor in Business Management,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/21,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Social Sciences with Major in Public Policy and Minor in Business Management,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/53,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Media Studies with Minor in Marketing,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/22,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Media Studies with Minor in English,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/23,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Media Studies with Minor in Political Science,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/24,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Media Studies with Minor in Business Management,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/37,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Media Studies with Minor in Visual Arts,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/38,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BFA Visual Arts,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/39,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Environmental Science with Minor in Economics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/25,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Environmental Science with Minor in Business Management,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/26,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Mathematics and Data Analytics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/43,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Mathematics and Statistics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/44,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Mathematics and Minor in Data Analytics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/45,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Mathematics and Minor in Economics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/46,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Mathematics and Minor in Finance,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/47,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Mathematics and Minor in Business Management,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/48,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Double Major in Statistics and Accounting,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/49,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Statistics and Minor in Data Analytics,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/50,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Statistics and Minor in Business Management,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/51,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,BS Major in Statistics and Minor in Accounting,BS,Undergraduate,4 Years,12–13 years education (FSc / A-Levels / IB / High School) with minimum 60%,"SAT-I (≥1200, Math ≥600) OR LSE Entry Test + Interview",https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/52,"June 22, 2026",450000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,PhD in Economics,PhD,Doctoral,3–5 Years,16 years education for MS/MPhil; MPhil/MS with research for PhD,GRE + HAT-3 + Research Proposal + Interview,https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/29,"May 28, 2026",300000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,MPhil in Environmental Science and Policy,MPhil,Graduate,2–3 Years,16 years education for MS/MPhil; MPhil/MS with research for PhD,GRE / HAT + Interview,https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/31,"June 23, 2026",350000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,MS in Economics,MS,Graduate,1.5–2 Years,16 years education for MS/MPhil; MPhil/MS with research for PhD,GRE / HAT + Interview,https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/32,"May 28, 2026",350000,https://lahoreschoolofeconomics.edu.pk/feeStructure
Lahore School of Economics,Lahore,MPhil in Development Studies,MPhil,Graduate,2–3 Years,16 years education for MS/MPhil; MPhil/MS with research for PhD,GRE / HAT + Interview,https://lahoreschoolofeconomics.edu.pk/getAcademicDegree/34,"June 23, 2026",350000,https://lahoreschoolofeconomics.edu.pk/feeStructure
