University,City,Degree_Level,School,Program_Name,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
Muhammad Ali Jinnah University,Karachi,Undergraduate,School of Business Administration (SOBA),BS Business Analytics,4 Years,Intermediate / A-Levels (relevant discipline),MAJU Admission Test,95000,"September 30, 2026",https://jinnah.edu/faculty-of-business-administration/department-of-business-administration/bs-business-analytics/
Muhammad Ali Jinnah University,Karachi,Undergraduate,Department of Management Sciences,BS Accounting & Finance,4 Years,Intermediate / A-Levels (relevant discipline),MAJU Admission Test,95000,"September 30, 2026",https://jinnah.edu/faculty-of-business-administration/department-of-management-sciences/bs-accounting-and-finance/
Muhammad Ali Jinnah University,Karachi,Undergraduate,School of Business Administration (SOBA),BS Business Computing,4 Years,Intermediate / A-Levels (relevant discipline),MAJU Admission Test,95000,"September 30, 2026",https://jinnah.edu/faculty-of-business-administration/school-of-business-administration-soba/bs-business-computing/
Muhammad Ali Jinnah University,Karachi,Undergraduate,School of Business Administration (SOBA),BS FinTech,4 Years,Intermediate / A-Levels (relevant discipline),MAJU Admission Test,95000,"September 30, 2026",https://jinnah.edu/faculty-of-business-administration/school-of-business-administration-soba/bs-fintech/
Muhammad Ali Jinnah University,Karachi,Undergraduate,School of Business Administration (SOBA),Bachelor of Business Administration (BBA),4 Years,Intermediate / A-Levels (relevant discipline),MAJU Admission Test,95000,"September 30, 2026",https://jinnah.edu/faculty-of-business-administration/school-of-business-administration-soba/bba/
Muhammad Ali Jinnah University,Karachi,Undergraduate,School of Business Administration (SOBA),BS Accounting & Finance (2 Years),2 Years,Associate Degree / relevant prior qualification,MAJU Admission Test,110000,"September 30, 2026",https://jinnah.edu/faculty-of-business-administration/school-of-business-administration-soba/bs-accounting-and-finance-2-years/
Muhammad Ali Jinnah University,Karachi,Undergraduate,School of Business Administration (SOBA),BS FinTech (2 Years),2 Years,Associate Degree / relevant prior qualification,MAJU Admission Test,110000,"September 30, 2026",https://jinnah.edu/faculty-of-business-administration/school-of-business-administration-soba/bs-fintech-2-years/
Muhammad Ali Jinnah University,Karachi,Undergraduate,School of Business Administration (SOBA),BBA (2 Years),2 Years,Associate Degree / relevant prior qualification,MAJU Admission Test,110000,"September 30, 2026",https://jinnah.edu/faculty-of-business-administration/school-of-business-administration-soba/bba-2-years/
Muhammad Ali Jinnah University,Karachi,Undergraduate,Department of Computer Science,BS Artificial Intelligence,4 Years,Intermediate / A-Levels (relevant discipline),MAJU Admission Test,95000,"September 30, 2026",https://jinnah.edu/faculty-of-computing/department-of-computer-science/bs-artificial-intelligence/
Muhammad Ali Jinnah University,Karachi,Undergraduate,Department of Computer Science,BS Software Engineering,4 Years,Intermediate / A-Levels (relevant discipline),MAJU Admission Test,95000,"September 30, 2026",https://jinnah.edu/faculty-of-computing/department-of-computer-science/bs-software-engineering/
Muhammad Ali Jinnah University,Karachi,Undergraduate,Department of Computer Science,BS Computer Science,4 Years,Intermediate / A-Levels (relevant discipline),MAJU Admission Test,95000,"September 30, 2026",https://jinnah.edu/faculty-of-computing/department-of-computer-science/bs-computer-science/
Muhammad Ali Jinnah University,Karachi,Undergraduate,Department of Psychology,BS Psychology,4 Years,Intermediate / A-Levels (relevant discipline),MAJU Admission Test,90000,"September 30, 2026",https://jinnah.edu/faculty-of-social-and-basic-sciences/department-of-basic-science/bs-psychology/
Muhammad Ali Jinnah University,Karachi,Undergraduate,Department of Psychology,BS Psychology (2 Years),2 Years,Associate Degree / relevant prior qualification,MAJU Admission Test,110000,"September 30, 2026",https://jinnah.edu/faculty-of-social-and-basic-sciences/department-of-psychology/bs-psychology-2-years/
Muhammad Ali Jinnah University,Karachi,Undergraduate,Department of Bio Sciences,BS Biotechnology,4 Years,Intermediate / A-Levels (relevant discipline),MAJU Admission Test,95000,"September 30, 2026",https://jinnah.edu/faculty-of-life-sciences/department-of-bio-sciences/bs-biotechnology/
Muhammad Ali Jinnah University,Karachi,Undergraduate,Department of Bio Sciences,BS Biotechnology (2 Years),2 Years,Associate Degree / relevant prior qualification,MAJU Admission Test,110000,"September 30, 2026",https://jinnah.edu/faculty-of-life-sciences/department-of-bio-sciences/bs-biotechnology-2-years/
Muhammad Ali Jinnah University,Karachi,Graduate (MS),Department of Computer Science,MS Data Science,2 Years,BS / BE (relevant discipline),MAJU Admission Test / Interview,120000,"October 31, 2026",https://jinnah.edu/faculty-of-computing/department-of-computer-science/ms-data-science/
Muhammad Ali Jinnah University,Karachi,Graduate (MS),Department of Computer Science,MS Computer Science,2 Years,BS / BE (relevant discipline),MAJU Admission Test / Interview,120000,"October 31, 2026",https://jinnah.edu/faculty-of-computing/department-of-computer-science/ms-computer-science/
Muhammad Ali Jinnah University,Karachi,Graduate (MS),Department of Computer Science,MS Software Engineering,2 Years,BS / BE (relevant discipline),MAJU Admission Test / Interview,120000,"October 31, 2026",https://jinnah.edu/faculty-of-computing/department-of-computer-science/ms-software-engineering/
Muhammad Ali Jinnah University,Karachi,Graduate (PhD),Department of Computer Science,PhD Computer Science,3–5 Years,MS / MPhil (relevant discipline),GAT (Subject) + Interview,150000,"October 31, 2026",https://jinnah.edu/faculty-of-computing/department-of-computer-science/phd-computer-science/
Muhammad Ali Jinnah University,Karachi,Graduate (MS/MBA),School of Business Administration (SOBA),Master of Business Administration (MBA),2 Years,BS / BE (relevant discipline),MAJU Admission Test / Interview,120000,"October 31, 2026",https://jinnah.edu/faculty-of-business-administration/school-of-business-administration-soba/mba-2-years/
