University,University_URL,City,School,Program_Name,Degree_Level,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Architecture,Bachelor of Architecture (B.Arch),Undergraduate,5 Years,FSc Pre-Engineering / A-Levels,NCA Aptitude Test,55000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-Arch
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Architecture,Master of Architecture – Interior Design,Graduate (MS/MPhil),2 Years,B.Arch,Departmental Test / Interview,65000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Post-Dept-Interior
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Architecture,Master of Architecture – Urban Design,Graduate (MS/MPhil),2 Years,B.Arch,Departmental Test / Interview,65000,"July 15, 2026",https://www.nca.edu.pk/college.php?name=faculty-architecture
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Fine Arts,BFA – Painting,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,50000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-finearts#painting
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Fine Arts,BFA – Miniature Painting,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,50000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-finearts#miniature-painting
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Fine Arts,BFA – Printmaking,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,50000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-finearts#print-making
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Fine Arts,BFA – Sculpture,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,50000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-finearts#sculpture
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Fine Arts,BFA – Drawing,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,50000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-finearts#drawing
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Fine Arts,MFA – Visual Arts,Graduate (MS/MPhil),2 Years,BFA,Departmental Test / Interview,60000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Post-Dept-Visual-Arts
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Design,BDes – Communication Design,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,50000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-Comm-Design
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Design,BDes – Textile Design,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,50000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-Textile-Design
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Design,BDes – Fashion Design,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,50000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=fashion-design
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Design,BDes – Product Design,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,50000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-Product-Design
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Design,BDes – Ceramic Design,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,50000,"July 15, 2026",https://www.nca.edu.pk/department?name=Dept-Ceramic-Design
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Design,Master of Design (MDes),Graduate (MS/MPhil),2 Years,BDes / BFA,Departmental Test / Interview,60000,"July 15, 2026",https://www.nca.edu.pk/college.php?name=faculty-design
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Film & Television,Bachelor of Film & Television,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,52000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-Film-tv
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Performing Arts,Bachelor of Musicology,Undergraduate,4 Years,Intermediate,NCA Aptitude Test,48000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-Musicology
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Humanities,BS Cultural Studies,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,45000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Dept-cultural-studies
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Humanities,MPhil Cultural Studies,Graduate (MS/MPhil),2 Years,Relevant Bachelor Degree,Departmental Test / Interview,55000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Post-Dept-Communication-Cultural
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Multimedia Art,Bachelor of Multimedia Art,Undergraduate,4 Years,Intermediate / A-Levels,NCA Aptitude Test,52000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=dept-multimedia-art
National College of Arts (NCA),https://www.nca.edu.pk,Lahore,Faculty of Multimedia Art,Master of Multimedia Art,Graduate (MS/MPhil),2 Years,Relevant Bachelor Degree,Departmental Test / Interview,62000,"July 15, 2026",https://www.nca.edu.pk/department.php?name=Post-Dept-Multimedia
