University,City,Degree_Level,School,Program_Name,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
NED University of Engineering & Technology,Karachi,Undergraduate,Civil Engineering,BE Civil Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Electrical Engineering,BE Electrical Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Mechanical Engineering,BE Mechanical Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Chemical Engineering,BE Chemical Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Computer & Information Systems Engineering,BE Computer & Information Systems Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Software Engineering,BE Software Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Electronics Engineering,BE Electronics Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Telecommunication Engineering,BE Telecommunication Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Biomedical Engineering,BE Biomedical Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Textile Engineering,BE Textile Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Automotive Engineering,BE Automotive Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Industrial & Manufacturing Engineering,BE Industrial & Manufacturing Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Metallurgy & Materials Engineering,BE Metallurgy & Materials Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Mining Engineering,BE Mining Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Petroleum Engineering,BE Petroleum Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Food Engineering,BE Food Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Environmental Engineering,BE Environmental Engineering,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Architecture,BArch Architecture,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,City & Regional Planning,BCRP City & Regional Planning,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Chemistry,BS Chemistry,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Undergraduate,Mathematics,BS Mathematics,4 Years,Intermediate (Pre-Engineering),NED Entry Test / ECAT,30000,"August 15, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Graduate (MS/MPhil),Electrical Engineering,MS Electrical Engineering,2 Years,BE / BS (relevant discipline),GAT (General),45000,"October 30, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Graduate (PhD),Electrical Engineering,PhD Electrical Engineering,3–5 Years,MS / MPhil,GAT (Subject),50000,"October 30, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Graduate (MS/MPhil),Mechanical Engineering,MS Mechanical Engineering,2 Years,BE / BS (relevant discipline),GAT (General),45000,"October 30, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Graduate (PhD),Mechanical Engineering,PhD Mechanical Engineering,3–5 Years,MS / MPhil,GAT (Subject),50000,"October 30, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Graduate (MS/MPhil),Computer & Information Systems Engineering,MS Computer Science,2 Years,BE / BS (relevant discipline),GAT (General),45000,"October 30, 2026",https://www.neduet.edu.pk/faculties_and_departments
NED University of Engineering & Technology,Karachi,Graduate (PhD),Computer & Information Systems Engineering,PhD Computer Science,3–5 Years,MS / MPhil,GAT (Subject),50000,"October 30, 2026",https://www.neduet.edu.pk/faculties_and_departments
