Institute,City,Degree,Program,Duration,Eligibility,Admission Test,Fee URL,Program URL
University of the Punjab,Lahore,BS,B.Sc. (Hons.) Agriculture (Agronomy) (Morning,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,B.Sc. (Hons.) Agriculture (Entomology) (Morning,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,B.Sc. (Hons.) Agriculture (Horticulture) (Morning,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,B.Sc. (Hons.) Agriculture (Plant Pathology) (Morning,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,B.Sc. (Hons.) Food Science and Technology (Self-Supporting) Graduate B,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BBA (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BBA (Hons,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BBA (Hons),4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BBA (Hons) (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BBA Hons,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Admission Related FAQs Regulations Merit of Last Year,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Archaeology (,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Biochemistry (Regular,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Biotechnology (Regular,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Botany,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
University of the Punjab,Lahore,BS,BS Botany after AD,4 Years,FSc / FA / ICS / A-Levels or equivalent,PU Entry Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Graduate
