Institute,City,Degree,Program,Department,Duration,Fee Basis,Fee (PKR),Eligibility,Entry Test,Program URL
Quaid-e-Azam University,Islamabad,BS,"BACHELOR OF MEDICINE, BACHELOR OF SURGERY (MBBS)",FACULTY OF HEALTH SCIENCES,5 Years,Annual,1300000,"FSc (Pre-Medical) with minimum 50% marks, QAU Entry Test or relevant regulatory body test",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BACHELOR OF DENTAL SURGERY (BDS),FACULTY OF HEALTH SCIENCES,4 Years,Annual,1000000,"FSc (Pre-Medical) with minimum 50% marks, QAU Entry Test or relevant regulatory body test",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,DOCTOR OF PHYSICAL THERAPY,FACULTY OF HEALTH SCIENCES,5 Years,Semester,150000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,DOCTOR OF OCCUPATIONAL THERAPY,FACULTY OF HEALTH SCIENCES,4 Years,Semester,100000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS AUDIOLOGY & SPEECH LANGUAGE THERAPY,FACULTY OF HEALTH SCIENCES,4 Years,Semester,100000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,DOCTOR OF PODIATRIC MEDICINE,FACULTY OF HEALTH SCIENCES,4 Years,Semester,100000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS MEDICAL TECHNOLOGY (04 YEARS PROGRAMME),FACULTY OF HEALTH SCIENCES,4 Years,Semester,100000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BACHELOR OF LAWS (LL.B.),"FACULTY OF LAW, POLITICS & GOVERNANCE",5 Years,Semester,100000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,DOCTOR OF PHARMACY (PHARM.D),FACULTY OF PHARMACY,5 Years,Semester,170000,"FSc (Pre-Medical) with minimum 50% marks, QAU Entry Test or relevant regulatory body test",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS COMMUNICATION AND MEDIA SCIENCES,FACULTY OF LIBERAL ARTS & HUMAN SCIENCES,4 Years,Semester,90000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS DIGITAL MEDIA MARKETING,FACULTY OF LIBERAL ARTS & HUMAN SCIENCES,4 Years,Semester,90000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS ENGLISH,FACULTY OF LIBERAL ARTS & HUMAN SCIENCES,4 Years,Semester,90000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS CLINICAL PSYCHOLOGY,FACULTY OF LIBERAL ARTS & HUMAN SCIENCES,4 Years,Semester,90000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS APPLIED PHYSICS,"FACULTY OF ENGINEERING , SCIENCE, TECHNOLOGY & MANAGEMENT",4 Years,Semester,100000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS ARCHITECTURE,"FACULTY OF ENGINEERING , SCIENCE, TECHNOLOGY & MANAGEMENT",4 Years,Semester,180000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS BIOMEDICAL ENGINEERING TECHNOLOGY,"FACULTY OF ENGINEERING , SCIENCE, TECHNOLOGY & MANAGEMENT",4 Years,Semester,130000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS MECHANICAL ENGINEERING,"FACULTY OF ENGINEERING , SCIENCE, TECHNOLOGY & MANAGEMENT",4 Years,Semester,130000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS SOFTWARE ENGINEERING,"FACULTY OF ENGINEERING , SCIENCE, TECHNOLOGY & MANAGEMENT",4 Years,Semester,130000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS DATA SCIENCE,"FACULTY OF ENGINEERING , SCIENCE, TECHNOLOGY & MANAGEMENT",4 Years,Semester,130000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS ELECTRICAL TECHNOLOGY,"FACULTY OF ENGINEERING , SCIENCE, TECHNOLOGY & MANAGEMENT",4 Years,Semester,130000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS CIVIL ENGINEERING TECHNOLOGY,"FACULTY OF ENGINEERING , SCIENCE, TECHNOLOGY & MANAGEMENT",4 Years,Semester,130000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS FOOD SCIENCE AND TECHNOLOGY,"FACULTY OF ENGINEERING , SCIENCE, TECHNOLOGY & MANAGEMENT",4 Years,Semester,100000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS BIOTECHNOLOGY,"FACULTY OF ENGINEERING , SCIENCE, TECHNOLOGY & MANAGEMENT",4 Years,Semester,130000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BACHELOR OF BUSINESS ADMINISTRATION (BBA),"FACULTY OF ENGINEERING , SCIENCE, TECHNOLOGY & MANAGEMENT",4 Years,Semester,110000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BACHELOR OF SCIENCE IN NURSING,FACULTY OF NURSING & MIDWIFERY,4 Years,Semester,100000,"FSc (Pre-Medical) with minimum 50% marks, QAU Entry Test or relevant regulatory body test",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BACHELOR OF EASTERN MEDICINE AND SURGERY,FACULTY OF EASTERN MEDICINE,4 Years,Semester,100000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,BS HUMAN NUTRITION DIETETICS,FACULTY OF EASTERN MEDICINE,4 Years,Semester,100000,"FSc / ICS / I.Com / A-Levels (equivalence required), minimum 45% marks, QAU Entry Test or NTS",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,BS,DOCTOR OF VETERINARY MEDICINE,FACULTY OF VETERINARY & ANIMAL SCIENCES,5 Years,Semester,160000,"FSc (Pre-Medical) with minimum 50% marks, QAU Entry Test or relevant regulatory body test",QAU Entry Test / NTS,https://qaui-edu.com/bachelors-undergraduate/
Quaid-e-Azam University,Islamabad,MS,MASTER OF SCIENCE IN SPEECH LANGUAGE PATHOLOGY (MS SLP),FACULTY OF HEALTH SCIENCES,2 Years,Semester,140000,"BS (16 years education) in relevant field, minimum CGPA 2.5/4.0, QAU Entry Test or NTS/GAT",QAU Entry Test / GAT,https://qaui-edu.com/masters-graduate-postgraduate-programmes/
Quaid-e-Azam University,Islamabad,MS,MS HEALTHCARE MANAGEMENT,FACULTY OF HEALTH SCIENCES,2 Years,Semester,130000,"BS (16 years education) in relevant field, minimum CGPA 2.5/4.0, QAU Entry Test or NTS/GAT",QAU Entry Test / GAT,https://qaui-edu.com/masters-graduate-postgraduate-programmes/
Quaid-e-Azam University,Islamabad,PhD,"PhD FACULTY OF HEALTH SCIENCES ( PATHOLOGY, PHYSIOLOGY, PHARMACOLOGY, BIOCHEMISTRY, ANATOMY, MOLECULAR MEDICINE )",FACULTY OF HEALTH SCIENCES,3–5 Years,Semester,180000,"MS / MPhil in relevant field, minimum CGPA 3.0/4.0, QAU Entry Test or GAT Subject",QAU Entry Test / GAT,https://qaui-edu.com/masters-graduate-postgraduate-programmes/
Quaid-e-Azam University,Islamabad,PhD,PhD IN PHYSICAL THERAPY,FACULTY OF HEALTH SCIENCES,3–5 Years,Semester,180000,"MS / MPhil in relevant field, minimum CGPA 3.0/4.0, QAU Entry Test or GAT Subject",QAU Entry Test / GAT,https://qaui-edu.com/masters-graduate-postgraduate-programmes/
Quaid-e-Azam University,Islamabad,PhD,PHD ELECTRICAL ENGINEERING,"FACULTY OF ENGINEERING, SCIENCE, TECHNOLOGY & MANAGEMENT",3–5 Years,Semester,180000,"MS / MPhil in relevant field, minimum CGPA 3.0/4.0, QAU Entry Test or GAT Subject",QAU Entry Test / GAT,https://qaui-edu.com/masters-graduate-postgraduate-programmes/
Quaid-e-Azam University,Islamabad,MS,MS ELECTRICAL ENGINEERING,"FACULTY OF ENGINEERING, SCIENCE, TECHNOLOGY & MANAGEMENT",2 Years,Semester,150000,"BS (16 years education) in relevant field, minimum CGPA 2.5/4.0, QAU Entry Test or NTS/GAT",QAU Entry Test / GAT,https://qaui-edu.com/masters-graduate-postgraduate-programmes/
Quaid-e-Azam University,Islamabad,MS,MS MECHANICAL ENGINEERING,"FACULTY OF ENGINEERING, SCIENCE, TECHNOLOGY & MANAGEMENT",2 Years,Semester,150000,"BS (16 years education) in relevant field, minimum CGPA 2.5/4.0, QAU Entry Test or NTS/GAT",QAU Entry Test / GAT,https://qaui-edu.com/masters-graduate-postgraduate-programmes/
Quaid-e-Azam University,Islamabad,MS,MS BIOMEDICAL ENGINEERING,"FACULTY OF ENGINEERING, SCIENCE, TECHNOLOGY & MANAGEMENT",2 Years,Semester,170000,"BS (16 years education) in relevant field, minimum CGPA 2.5/4.0, QAU Entry Test or NTS/GAT",QAU Entry Test / GAT,https://qaui-edu.com/masters-graduate-postgraduate-programmes/
