University,City,Degree_Level,School,Program_Name,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Accounting and Finance,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-accounting-and-finance/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Entrepreneurship,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-entrepreneurship/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Business Analytics (BSBA),4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bachelor-of-science-in-business-analytics-bsba/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Computer Science,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-computer-science/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Software Engineering,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-software-engineering/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Artificial Intelligence,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-artificial-intelligence/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BE Mechatronic Engineering,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/details-semester-outlines-for-be-mechatronic/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Autonomous Systems and Artificial Intelligence,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/details-semester-outlines-for-systems-artificial-intelligence/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Social Sciences,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-social-sciences/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Psychology,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-psychology/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS (English),4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-english/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS (Educational Psychology),4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-educational-psychology/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Biosciences,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-biosciences/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Biotechnology,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-biotechnology/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Public Health,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-public-health/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Nutrition and Dietetics,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bachelor-of-science-in-nutrition-and-dietetic/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS in Food Science and Technology,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bachelor-of-science-in-food-science-and-technology-bs-fst/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Undergraduate,SZABIST Karachi,BS Computational Biology,4 Years,Intermediate / A-Levels (relevant discipline),SZABIST Admission Test,120000,"August 31, 2026",https://szabist.edu.pk/bs-computational-biology-program/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Project Management,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-project-management/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Management Sciences,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-management-sciences/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS in Finance & Economics,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-in-finance-economics/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Computer Science,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-computer-science/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Cyber Security,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-cyber-security/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Data Science,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-data-science/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Social Sciences,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-social-sciences/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Economics,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-economics/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Psychology,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-psychology/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Sociology,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-sociology/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Educational Leadership and Management,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-educational-leadership-and-management/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Biosciences,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-biosciences/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Public Health,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-public-health/
Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),Karachi,Graduate (MS/MPhil),SZABIST Karachi,MS Biotechnology,2 Years,BS / BE (relevant discipline),GAT (General) / SZABIST Test,150000,"September 30, 2026",https://szabist.edu.pk/ms-biotechnology/
