Institute,City,Degree,Program,Duration,Eligibility,Admission Test,Fee (PKR per semester),Fee Per Credit Hour (PKR),Program URL,Fee URL,Admission Deadline
University of Central Punjab,Lahore,BS,Bachelors of Computer Science,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-information-technology-and-computer-science/programmes/undergraduate/bs-cs-2/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,Bachelors of Science in Software Engineering,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-information-technology-and-computer-science/programmes/undergraduate/bs-software-engineering/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,Bachelor of Business Administration,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-management-sciences/ucp-business-school/programmes/undergraduate/bba/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,Bachelor of Science in Accounting & Finance,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-management-sciences/ucp-business-school/programmes/undergraduate/bs-accounting-finance/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,BS International Relations,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-humanities-and-social-sciences/department-of-politics-and-international-relations/programmes/undergraduate/bs-international-relations/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,BS Psychology,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-humanities-and-social-sciences/department-of-psychology/programmes/undergraduate/bs-psychology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,BS English Language and Literature,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-languages-literature/programmes/undergraduate/bs-english-language-and-literature/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,BS Economics,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-humanities-and-social-sciences/department-of-economics/programmes/undergraduate/bs-economics-2/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,Doctor of Pharmacy,5 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-pharmacy/programmes/undergraduate/pharm-d/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,BS Biochemistry,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-science-technology/programmes/undergraduate/bs-biochemistry/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,BS Microbiology,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-science-technology/programmes/undergraduate/bs-microbiology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,BS Biotechnology,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-science-technology/programmes/undergraduate/bs-biotechnology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,BS Food Science and Technology,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-science-technology/programmes/undergraduate/bs-food-science-technology/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,BS Physics,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-sciences/programmes/undergraduate/bs-physics/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,BS Chemistry,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-sciences/programmes/undergraduate/bs-chemistry/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
University of Central Punjab,Lahore,BS,BS Mathematics,4 Years,At least 50% marks in F.Sc (Pre-Engineering / Pre-Medical) / ICS / A-Levels with Mathematics or equivalent,UCP Admission Test,258100,15540,https://ucp.edu.pk/faculty-of-sciences/programmes/undergraduate/bs-mathematics/,https://ucp.edu.pk/admissions/fee-structure/,September 2025 (Fall Intake)
