Institute,City,School / Department,Program Title,Degree,Degree Level,Program Type,Duration,Fee (PKR),Eligibility Criteria,Admission Test,Program URL,Fee URL,Admission Deadline
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),Bachelor of Business Administration,BBA,Undergraduate Programs,Morning,4 years,2090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BBA.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),Bachelor of Business Administration - Post ADP,BBA - Post ADP,Post Associate Degree Programs,Morning,2 years,1201581,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BBA - Post ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),Bachelor of Business and Information Systems,BBIS,Undergraduate Programs,Morning,4 years,1790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BBIS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),Bachelor of Business and Information Systems - Post ADP,BBIS - Post ADP,Post Associate Degree Programs,Morning,2 years,1050467,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BBIS - Post ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Accounting and Finance,BSAF,Undergraduate Programs,Morning,4 Years,1690000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSAF.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Accounting and Finance - Post ADP,BSAF - Post ADP,Post Associate Degree Programs,Morning,2 years,974862,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSAF - Post ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Business and AI,BSBAI,Undergraduate Programs,Morning,4 Years,1990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSBAI.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Economics,BS ECO,Undergraduate Programs,Morning,4 Years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS Eco.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Economics - Post ADP,BS ECO - Post ADP,Post Associate Degree Programs,Morning,2 years,780848,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS ECO - Post ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Economics with Data Science,BS ECO-DS,Undergraduate Programs,Morning,4 years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS EDS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Economics with Finance,BS ECO-FIN,Undergraduate Programs,Morning,4 years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS EF.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Economics with Public Policy,BS ECO-PP,Undergraduate Programs,Morning,4 years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS EPP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Fintech and Cryptocurrency,BSFC,Undergraduate Programs,Morning,4 Years,1690000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSFC.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Management and Technology,BSMT,Undergraduate Programs,Morning,4 Years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSMT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Operations and Supply Chain Management,BSOSCM,Undergraduate Programs,Morning,4 Years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSOSCM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),BS Operations and Supply Chain Post ADP,BSOSCM - Post ADP,Post Associate Degree Programs,Morning,2 years,830604,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS OSCM - Post ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),Executive MBA (Weekend),EMBA,Graduate Programs,Weekend,2 Years,890000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/EMBA.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),MBA,MBA  (2 Years),Graduate Programs,Evening,2 Years,990000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MBA  (2 Years).aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),MBA (1.5 Years),MBA  (1.5 Years),Graduate Programs,Morning/Evening,1.5 Years,790000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MBA (1.5 Years).aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),MS Business Analytics (Weekend),MSBA,Graduate Programs,Weekend,2  Years,790000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS BA.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),MS Economics,MS ECO,Graduate Programs,Evening,2 Years,790000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS Eco.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),MS Finance (Weekend),MSFIN,Graduate Programs,Weekend,2 Years,790000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS Fin.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),MS Higher Education Leadership and Management,MS HELM,Graduate Programs,Weekend,2 years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS HELM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),MS Management,MSMGT,Graduate Programs,Evening,2 Years,790000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSMGT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),MS Marketing (Weekend),MSMKT,Graduate Programs,Weekend,2 Years,790000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSMKT.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),MS Strategic Human Resource Management (Weekend),MS-SHRM,Graduate Programs,Weekend,2 Years,790000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-SHRM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),MS Supply Chain Management (Weekend),MSSCM,Graduate Programs,Weekend,2 Years,790000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MSSCM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
