Institute,City,Faculty,Department,Degree,Program,Program_URL,Fee,Deadline
University of Karachi,Karachi,Faculty of Education,Department of Education,BS / MS / PhD,Department of Education,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Department of Special Education,BS / MS / PhD,Department of Special Education,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Department of Teacher Education,BS / MS / PhD,Department of Teacher Education,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Prof. Dr. Ismail Saad,BS / MS / PhD,Prof. Dr. Ismail Saad,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Prof. Dr. Abdul Hameed,BS / MS / PhD,Prof. Dr. Abdul Hameed,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Prof. Dr. Rifaqat Ali Akbar,BS / MS / PhD,Prof. Dr. Rifaqat Ali Akbar,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Prof. Dr. Nasim Qaisarani,BS / MS / PhD,Prof. Dr. Nasim Qaisarani,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Prof. Dr. Irshad Farrukh,BS / MS / PhD,Prof. Dr. Irshad Farrukh,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Dr. Hina Kazimi,BS / MS / PhD,Dr. Hina Kazimi,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Prof. Dr. Shaikh Mutahir Ahmed,BS / MS / PhD,Prof. Dr. Shaikh Mutahir Ahmed,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Prof. Dr. Nabeel Ahmed Zubairi,BS / MS / PhD,Prof. Dr. Nabeel Ahmed Zubairi,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Pror. Dr. Haris Shoaib,BS / MS / PhD,Pror. Dr. Haris Shoaib,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Subject Experts /Advisors:,BS / MS / PhD,Subject Experts /Advisors:,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Advisors:,BS / MS / PhD,Advisors:,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Education,BS / MS / PhD,Education,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Special Education,BS / MS / PhD,Special Education,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Education,Teacher Education,BS / MS / PhD,Teacher Education,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Engineering,Chemical Engineering(Accredited with PEC),BS / MS / PhD,Chemical Engineering(Accredited with PEC),https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Islamic Studies,Islam Learning,BS / MS / PhD,Islam Learning,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Islamic Studies,Quran Wa Sunnah,BS / MS / PhD,Quran Wa Sunnah,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Islamic Studies,Usool-ud-Din,BS / MS / PhD,Usool-ud-Din,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Islamic Studies,Sirah Chair,BS / MS / PhD,Sirah Chair,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Law,School of Law,BS / MS / PhD,School of Law,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Pharmacy & Pharmaceutical Sciences,Pharmaceutical Chemistry,BS / MS / PhD,Pharmaceutical Chemistry,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Pharmacy & Pharmaceutical Sciences,Pharmaceutics,BS / MS / PhD,Pharmaceutics,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Pharmacy & Pharmaceutical Sciences,Pharmacology,BS / MS / PhD,Pharmacology,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Pharmacy & Pharmaceutical Sciences,Pharmacognosy,BS / MS / PhD,Pharmacognosy,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Pharmacy & Pharmaceutical Sciences,Pharmacy Practice,BS / MS / PhD,Pharmacy Practice,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,Social Sciences Website,BS / MS / PhD,Social Sciences Website,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,Arabic,BS / MS / PhD,Arabic,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,Bengali,BS / MS / PhD,Bengali,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,Criminology,BS / MS / PhD,Criminology,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,Economics,BS / MS / PhD,Economics,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,English,BS / MS / PhD,English,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,History,BS / MS / PhD,History,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,"International 
          
          
          
          Relations",BS / MS / PhD,"International 
          
          
          
          Relations",https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,"Islamic 
          
          
          
          History",BS / MS / PhD,"Islamic 
          
          
          
          History",https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,"Library 
          
          
          
          & Information Science",BS / MS / PhD,"Library 
          
          
          
          & Information Science",https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,"Mass 
          
          
          
          Communication",BS / MS / PhD,"Mass 
          
          
          
          Communication",https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,Persian,BS / MS / PhD,Persian,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,Philosophy,BS / MS / PhD,Philosophy,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,"Political 
          
          
          
          Science",BS / MS / PhD,"Political 
          
          
          
          Science",https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,Psychology,BS / MS / PhD,Psychology,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,Sindhi,BS / MS / PhD,Sindhi,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,"Shah 
          
          
          
          Latif Chair",BS / MS / PhD,"Shah 
          
          
          
          Latif Chair",https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,"Social 
          
          
          
          Work",BS / MS / PhD,"Social 
          
          
          
          Work",https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,Sociology,BS / MS / PhD,Sociology,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,Urdu,BS / MS / PhD,Urdu,https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,"Visual 
          
          
          
          Studies",BS / MS / PhD,"Visual 
          
          
          
          Studies",https://www.uok.edu.pk/faculties/,Not Available,Not Available
University of Karachi,Karachi,Faculty of Arts and Social Sciences,"Research 
          
          
          
          Facility Centre",BS / MS / PhD,"Research 
          
          
          
          Facility Centre",https://www.uok.edu.pk/faculties/,Not Available,Not Available
