University,City,Degree_Level,School,Program_Name,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
Ziauddin University,Karachi,Undergraduate,Ziauddin Medical College,MBBS,5 Years,Intermediate / A-Levels (relevant discipline),Ziauddin University Admission Test,120000,"September 30, 2026",https://zu.edu.pk/faculty-of-health-sciences/ziauddin-medical-college/bachelor-of-medicine-bachelor-of-surgery-mbbs/
Ziauddin University,Karachi,Undergraduate,College of Dentistry,Bachelor of Dental Surgery (BDS),5 Years,Intermediate / A-Levels (relevant discipline),Ziauddin University Admission Test,120000,"September 30, 2026",https://zu.edu.pk/faculty-of-health-sciences/college-of-dentistry/bachelors-of-dental-surgery/
Ziauddin University,Karachi,Undergraduate,College of Public Health (Sukkur),BS Public Health (BSPH),4 Years,Intermediate / A-Levels (relevant discipline),Ziauddin University Admission Test,120000,"September 30, 2026",https://zu.edu.pk/faculty-of-health-sciences/college-of-public-health-sukkur/bachelors-in-public-health-bsph/
Ziauddin University,Karachi,Undergraduate,College of Molecular Medicine,BS Molecular Medicine,4 Years,Intermediate / A-Levels (relevant discipline),Ziauddin University Admission Test,120000,"September 30, 2026",https://zu.edu.pk/faculty-of-health-sciences/college-of-molecular-medicine/bs-molecular-medicine/
Ziauddin University,Karachi,Undergraduate,College of Physical Therapy (Karachi),Doctor of Physical Therapy (DPT),5 Years,Intermediate / A-Levels (relevant discipline),Ziauddin University Admission Test,120000,"September 30, 2026",https://zu.edu.pk/faculty-of-allied-health-sciences/college-of-physical-therapy-karachi/doctor-of-physical-therapy-karachi/
Ziauddin University,Karachi,Undergraduate,College of Occupational Therapy (Karachi),Doctor of Occupational Therapy (DOT),5 Years,Intermediate / A-Levels (relevant discipline),Ziauddin University Admission Test,120000,"September 30, 2026",https://zu.edu.pk/faculty-of-allied-health-sciences/college-of-occupational-therapy-karachi/doctor-of-occupational-therapy-karachi/
Ziauddin University,Karachi,Undergraduate,College of Occupational Therapy (Karachi),Accelerated Doctor of Occupational Therapy,3 Years,Intermediate / A-Levels (relevant discipline),Ziauddin University Admission Test,120000,"September 30, 2026",https://zu.edu.pk/faculty-of-allied-health-sciences/college-of-occupational-therapy-karachi/accelerated-doctor-of-occupational-therapy/
Ziauddin University,Karachi,Undergraduate,College of Speech Language & Hearing Sciences,BS Accelerated Audiology & Speech Language Therapy (AASLT),1.5 Years,Intermediate / A-Levels (relevant discipline),Ziauddin University Admission Test,120000,"September 30, 2026",https://zu.edu.pk/faculty-of-allied-health-sciences/college-of-speech-language-hearing-sciences/bs-accelerated-audiology-and-speech-language-therapy-aaslt-1-5-year/
Ziauddin University,Karachi,Undergraduate,College of Clinical Psychology (Karachi),BS Clinical Psychology,4 Years,Intermediate / A-Levels (relevant discipline),Ziauddin University Admission Test,120000,"September 30, 2026",https://zu.edu.pk/faculty-of-allied-health-sciences/college-of-clinical-psychology-karachi-campus/bs-in-psychology-clinical-psychology/
Ziauddin University,Karachi,Undergraduate,College of Clinical Psychology (Sukkur),BS Clinical Psychology,4 Years,Intermediate / A-Levels (relevant discipline),Ziauddin University Admission Test,120000,"September 30, 2026",https://zu.edu.pk/faculty-of-allied-health-sciences/college-of-clinical-psychology-sukkur-campus/bs-in-psychology-clinical-psychology/
