University,University_URL,City,School,Program_Name,Degree_Level,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MBA,Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=101
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MBA ( Pharmaceutical and Health Management),Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=105
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MBA (for Business graduates),Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=102
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MS Artificial Intelligence,Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=115
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MS Computer Engineering,Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=112
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MS Electrical Engineering,Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=108
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MS Geophysics,Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=125
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MS Information Security,Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=120
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MS Media Studies,Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=122
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MS Project Management (Weekend),Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=106
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MS Software Engineering,Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=109
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,MS Telecom & Networking,Graduate (MS/MPhil),2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000,"September 30, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=118
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS (Media Studies),Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=78
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Accounting and Finance,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=18
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Artificial Intelligence,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=184
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Computer Science,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=41
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Development Studies,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=67
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Economics,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=20
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Environmental Science,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=50
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Geology,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=53
