Institute,City,School,Degree,Program,Eligibility,Admission_Test,Fee_Category,First_Year_Fee_PKR,Application_Deadline,Deadline_Source_URL,Fee_Source_URL
NUST,Islamabad,School Of Chemical & Materials Engineering,BS,BACHELOR OF CHEMICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Chemical & Materials Engineering,BS,BACHELOR OF METALLURGY & MATERIALS  ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Chemical & Materials Engineering,BS,BACHELOR OF METALLURGY & MATERIALS,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),General BS,300000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,BS,BACHELOR OF SOFTWARE ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,BS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE 2021 AND 2022 INTAKE,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,BS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE 2023-2024,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,BS,BACHELOR OF ELECTRICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,BS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE 2020 INTAKE,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,BS,BACHELOR OF SCIENCE IN DATA SCIENCE,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),General BS,300000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,BS,BACHELOR OF SCIENCE IN ARTIFICIAL INTELLIGENCE,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),General BS,300000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
